"obsID"	"traitcolnum"	"traitname"	"invCWM"	"natCWM"	"numspp"	"numinfospp"	"info"
"1"	"1"	"1"	"MeasID_3"	49.6284746180615	38.1078236861538	6	"6"	NA
"2"	"1"	"2"	"MeasID_4"	NA	NA	6	"0"	NA
"3"	"1"	"3"	"MeasID_5"	NA	NA	6	"0"	NA
"4"	"1"	"4"	"MeasID_6"	NA	NA	6	"0"	NA
"5"	"1"	"5"	"MeasID_7"	NA	NA	6	"0"	NA
"6"	"1"	"6"	"MeasID_8"	NA	NA	6	"0"	NA
"7"	"1"	"7"	"MeasID_9"	NA	NA	6	"0"	NA
"8"	"1"	"8"	"MeasID_10"	NA	NA	6	"0"	NA
"9"	"1"	"9"	"MeasID_11"	1.90378113422654	1.24303721835185	6	"6"	NA
"10"	"1"	"10"	"MeasID_12"	3.35675688599702	1.91425063924443	6	"6"	NA
"11"	"1"	"11"	"MeasID_13"	NA	NA	6	"0"	NA
"12"	"1"	"12"	"MeasID_14"	2.26508348518519	1.72683042222222	6	"6"	NA
"13"	"1"	"13"	"MeasID_15"	NA	NA	6	"0"	NA
"14"	"1"	"14"	"MeasID_16"	NA	NA	6	"0"	NA
"15"	"1"	"15"	"MeasID_17"	36.1353050039669	16.1088931779093	6	"6"	NA
"16"	"1"	"16"	"MeasID_18"	NA	NA	6	"0"	NA
"17"	"2"	"1"	"MeasID_3"	4.26683069444899	4.97796914352381	7	"2"	NA
"18"	"2"	"2"	"MeasID_4"	9.45584415584416	11.0318181818182	7	"1"	NA
"19"	"2"	"3"	"MeasID_5"	NA	NA	7	"0"	NA
"20"	"2"	"4"	"MeasID_6"	NA	NA	7	"0"	NA
"21"	"2"	"5"	"MeasID_7"	NA	NA	7	"0"	NA
"22"	"2"	"6"	"MeasID_8"	NA	NA	7	"0"	NA
"23"	"2"	"7"	"MeasID_9"	NA	NA	7	"0"	NA
"24"	"2"	"8"	"MeasID_10"	NA	NA	7	"0"	NA
"25"	"2"	"9"	"MeasID_11"	0.787838437661674	0.91914484393862	7	"4"	NA
"26"	"2"	"10"	"MeasID_12"	1.46907172951278	1.7139170177649	7	"5"	NA
"27"	"2"	"11"	"MeasID_13"	NA	NA	7	"0"	NA
