"Genus"	"DataID.56"	"DataID.12"	"DataID.15"	"DataID.368"	"DataID.272"	"DataID.65"	"DataID.455"	"DataID.248"	"DataID.249"	"DataID.878"	"DataID.489"	"DataID.465"	"DataID.1092"	"DataID.1093"	"DataID.1099"	"DataID.986"	"DataID.1370"	"DataID.1446"	"DataID.1470"	"DataID.487"	"DataID.488"	"DataID.101"	"DataID.1487"
"1"	"Aa"	NA	9.433962264	2.64	NA	NA	2.7984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Abarema"	NA	7.43280444733333	3.32664781077778	NA	NA	NA	15.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Abatia"	NA	NA	2.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Abies"	NA	5.4387352019359	1.38867016861442	NA	0.316689812634286	2.1595561505	NA	NA	NA	NA	61.5	90.2714285714286	NA	NA	NA	0.343751612903226	NA	NA	NA	NA	NA	0.1749150525	NA
"5"	"Abronia"	NA	14	5	NA	NA	3.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Abrus"	NA	48.8684142593333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Abuta"	NA	13.01478453925	2.06535570827143	NA	NA	2.4382958535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Abutilon"	NA	14.7493254416	3.5855	NA	NA	1.702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"Acacia"	NA	10.1296377606941	2.87870568309176	NA	3.30978846153462	2.96163914270732	NA	3.018536825	1.7308569749	NA	NA	NA	NA	NA	NA	2.63639589999667	NA	40.4813839116	40.59887148065	NA	NA	2.08059224022222	NA
"10"	"Acaena"	NA	24.453986044	2.41555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	NA
"11"	"Acalypha"	NA	25.6707043985185	3.42193318616667	NA	NA	0.6717086685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0713415	32.41659886
"12"	"Acamptopappus"	NA	NA	2.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"Acantholimon"	NA	6.8419597175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"Acanthopanax"	NA	39.3518518515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"Acanthopsis"	NA	5.21920668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	"Acanthosicyos"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.207	NA	NA	NA	NA	NA	NA	NA
"17"	"Acanthus"	NA	2.109826589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
