"GenusSpecies"	"DataID.56"	"DataID.12"	"DataID.15"	"DataID.368"	"DataID.272"	"DataID.65"	"DataID.455"	"DataID.248"	"DataID.249"	"DataID.878"	"DataID.489"	"DataID.465"	"DataID.1092"	"DataID.1093"	"DataID.1099"	"DataID.986"	"DataID.1370"	"DataID.1446"	"DataID.1470"	"DataID.487"	"DataID.488"	"DataID.101"	"DataID.1487"
"1"	"Aa sp"	NA	9.433962264	26.4	NA	NA	2.7984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Abarema adenophora"	NA	NA	23.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Abarema brachystachya"	NA	NA	30.4	NA	NA	NA	15.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Abarema jupunba"	NA	NA	30.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"Abarema macradenia"	NA	7.43280444733333	23.39490891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Abarema mataybifolia"	NA	NA	37.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Abarema piresii"	NA	NA	23.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Abatia parviflora"	NA	NA	24.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"Abies alba"	NA	6.14754938716667	12.5575102040816	NA	NA	2.198250463	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.981	NA	NA	NA	NA	NA	0.087743592	NA
"10"	"Abies amabilis"	NA	NA	9.51	NA	NA	NA	NA	NA	NA	NA	51.5	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"Abies balsamea"	NA	3.70178666633333	14.5436539993909	NA	3.16689812634286	1.6	NA	NA	NA	NA	NA	84.7	NA	NA	NA	3.70071428571429	NA	NA	NA	NA	NA	NA	NA
"12"	"Abies concolor"	NA	NA	13.0666666666667	NA	NA	NA	NA	NA	NA	NA	NA	68.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"Abies fraseri"	NA	5.51528766223529	18.0777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
