"Genus"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"1"	"Aa"	NA	NA	NA	NA	NA	NA	NA	NA	2.7984	2.64	NA	NA	NA	NA	9.433962264	NA
"2"	"Abarema"	15.84	NA	NA	NA	NA	NA	NA	NA	NA	3.32664781077778	NA	NA	NA	NA	7.43280444733333	NA
"3"	"Abatia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.44	NA	NA	NA	NA	NA	NA
"4"	"Abies"	NA	90.2714285714286	NA	NA	NA	NA	NA	NA	2.1595561505	1.38867016861442	NA	0.316689812634286	NA	0.343751612903226	5.4387352019359	NA
"5"	"Abronia"	NA	NA	NA	NA	NA	NA	NA	NA	3.57	5	NA	NA	NA	NA	14	NA
"6"	"Abrus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.8684142593333	NA
"7"	"Abuta"	NA	NA	NA	NA	NA	NA	NA	NA	2.4382958535	2.06535570827143	NA	NA	NA	NA	13.01478453925	NA
"8"	"Abutilon"	NA	NA	NA	NA	NA	NA	NA	NA	1.702	3.5855	NA	NA	NA	NA	14.7493254416	NA
"9"	"Acacia"	NA	NA	NA	NA	NA	NA	NA	NA	2.96163914270732	2.87870568309176	1.7308569749	3.30978846153462	NA	2.63639589999667	10.1296377606941	3.018536825
"10"	"Acaena"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.41555555555556	NA	NA	NA	1.6	24.453986044	NA
"11"	"Acalypha"	NA	NA	NA	NA	NA	NA	NA	NA	0.6717086685	3.42193318616667	NA	NA	NA	NA	25.6707043985185	NA
"12"	"Acamptopappus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.48	NA	NA	NA	NA	NA	NA
"13"	"Acantholimon"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.8419597175	NA
"14"	"Acanthopanax"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.3518518515	NA
"15"	"Acanthopsis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.21920668	NA
"16"	"Acanthosicyos"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.207	NA	NA
"17"	"Acanthus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.109826589	NA
"18"	"Acer"	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"19"	"Aceras"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.01	NA
"20"	"Achillea"	27.0613807674	NA	NA	NA	NA	NA	NA	NA	1.9425400331875	3.0376531744759	0.95685	1.94963164492174	NA	3.43169042855714	19.1993529624452	NA
"21"	"Achnatherum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17910317460179	NA	NA	NA	NA	10.6678601735	NA
"22"	"Achyrocline"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.286648284	NA
