"GenusSpecies"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"1"	"Aa sp"	NA	NA	NA	NA	NA	NA	NA	NA	2.7984	2.64	NA	NA	NA	NA	9.433962264	NA
"2"	"Abarema adenophora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.335	NA	NA	NA	NA	NA	NA
"3"	"Abarema brachystachya"	15.84	NA	NA	NA	NA	NA	NA	NA	NA	3.04	NA	NA	NA	NA	NA	NA
"4"	"Abarema jupunba"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.065	NA	NA	NA	NA	NA	NA
"5"	"Abarema macradenia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.339490891	NA	NA	NA	NA	7.43280444733333	NA
"6"	"Abarema mataybifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.782	NA	NA	NA	NA	NA	NA
"7"	"Abarema piresii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.325	NA	NA	NA	NA	NA	NA
"8"	"Abatia parviflora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.44	NA	NA	NA	NA	NA	NA
"9"	"Abies alba"	NA	NA	NA	NA	NA	NA	NA	NA	2.198250463	1.25575102040816	NA	NA	NA	0.0981	6.14754938716667	NA
"10"	"Abies amabilis"	NA	110	NA	NA	NA	NA	NA	NA	NA	0.951	NA	NA	NA	NA	NA	NA
"11"	"Abies balsamea"	NA	84.7	NA	NA	NA	NA	NA	NA	1.6	1.45436539993909	NA	0.316689812634286	NA	0.370071428571429	3.70178666633333	NA
"12"	"Abies concolor"	NA	68.95	NA	NA	NA	NA	NA	NA	NA	1.30666666666667	NA	NA	NA	NA	NA	NA
"13"	"Abies fraseri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.80777777777778	NA	NA	NA	NA	5.51528766223529	NA
"14"	"Abies grandis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46	NA	NA	NA	NA	4.7	NA
"15"	"Abies lasiocarpa"	NA	94.65	NA	NA	NA	NA	NA	NA	2.620865139	1.36273684210526	NA	NA	NA	NA	3.6469723621	NA
"16"	"Abies nephrolepis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA	NA
"17"	"Abies sachalinensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08	NA	NA	NA	NA	NA	NA
"18"	"Abronia villosa"	NA	NA	NA	NA	NA	NA	NA	NA	3.57	5	NA	NA	NA	NA	14	NA
"19"	"Abrus precatorius"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.8684142593333	NA
"20"	"Abuta grandifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45	NA	NA	NA	NA	NA	NA
"21"	"Abuta panamensis"	NA	NA	NA	NA	NA	NA	NA	NA	1.946591707	2.77	NA	NA	NA	NA	15.7210341293333	NA
"22"	"Abuta racemosa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.16971218	NA	NA	NA	NA	13.9548244971429	NA
"23"	"Abuta rufescens"	NA	NA	NA	NA	NA	NA	NA	NA	2.93	1.766944444475	NA	NA	NA	NA	5.6652703015	NA
"24"	"Abutilon fraseri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3951703365	NA
"25"	"Abutilon indicum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.241	NA	NA	NA	NA	NA	NA
"26"	"Abutilon otocarpum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.9781432675	NA
"27"	"Abutilon theophrasti"	NA	NA	NA	NA	NA	NA	NA	NA	1.735	NA	NA	NA	NA	NA	NA	NA
"28"	"Abutilon theophrastii"	NA	NA	NA	NA	NA	NA	NA	NA	1.57	3.93	NA	NA	NA	NA	25	NA
"29"	"Acacia albida"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79	NA	NA	NA	NA	NA	NA
"30"	"Acacia aneura"	NA	NA	NA	NA	NA	NA	NA	NA	2.58655954458333	2.24331733942414	NA	3.0585	NA	2.66319999998	8.72045300529167	NA
"31"	"Acacia aroma"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA	NA	NA	11.56731521	NA
"32"	"Acacia ataxacantha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8275	NA	NA	NA	NA	NA	NA
"33"	"Acacia auriculiformis"	NA	NA	NA	NA	NA	NA	NA	NA	2.59904956766667	2.19416627466667	NA	NA	NA	NA	9.614981465	NA
"34"	"Acacia binervata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA
"35"	"Acacia brachybotrya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.465035742	NA
"36"	"Acacia brachystachya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33327663875	NA
"37"	"Acacia brownii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.99525	NA
"38"	"Acacia burkittii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.4805526035	NA
"39"	"Acacia cana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.540003872	NA
"40"	"Acacia catechu"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.745	NA	NA	NA	NA	NA	NA
"41"	"Acacia caven"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.085	NA	NA	NA	NA	11.35475	NA
"42"	"Acacia celsa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.896551724	NA
"43"	"Acacia cheelii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.070968371	NA
"44"	"Acacia clivicola"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.975106382	NA
"45"	"Acacia cognata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6	NA
"46"	"Acacia colei"	NA	NA	NA	NA	NA	NA	NA	NA	2.5147049135	4.4018078872	NA	3.244	NA	2.943	17.5960370565	NA
"47"	"Acacia colletioides"	NA	NA	NA	NA	NA	NA	NA	NA	4.91418714533333	1.88275625981667	NA	NA	NA	NA	2.74784476916667	NA
"48"	"Acacia collinsii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.618611817	NA	NA	NA	NA	NA	NA
"49"	"Acacia confusa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.96	NA	NA	NA	NA	7.911392405	NA
"50"	"Acacia coriacea"	NA	NA	NA	NA	NA	NA	NA	NA	3.248802362	2.872734226825	NA	3.667	NA	3.189	12.4860782125	NA
"51"	"Acacia cultriformis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.482144482	NA
"52"	"Acacia dealbata"	NA	NA	NA	NA	NA	NA	NA	NA	1.8429792508	3.8912	NA	3.142	NA	2.778	19.5478607255833	NA
"53"	"Acacia deanei"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.206056701	NA
"54"	"Acacia decora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.86858543733333	NA
"55"	"Acacia decurrens"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.359501923	NA
"56"	"Acacia dimidiata"	NA	NA	NA	NA	NA	NA	NA	NA	4.303393213	2.156	NA	NA	NA	NA	5.01	NA
"57"	"Acacia doratoxylon"	NA	NA	NA	NA	NA	NA	NA	NA	4.3819023335	2.02406503433333	2.0055400585	NA	NA	NA	4.26704483966667	3.387492009
"58"	"Acacia elata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	NA
"59"	"Acacia erioloba"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.75666666666667	NA	NA	NA	NA	NA	NA
"60"	"Acacia erubescens"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9008375	NA	NA	NA	1.440309	NA	NA
"61"	"Acacia excelsa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.27	NA
"62"	"Acacia exuvialis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.335	NA	NA	NA	NA	NA	NA
"63"	"Acacia falcata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.812985652	NA
"64"	"Acacia farnesiana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.948	NA
"65"	"Acacia fleckii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.78064766666667	NA	NA	NA	NA	NA	NA
"66"	"Acacia floribunda"	NA	NA	NA	NA	NA	NA	NA	NA	2.89770152166667	2.25946089768333	NA	NA	NA	NA	7.8157530546	NA
"67"	"Acacia furcatispina"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.282273855	NA
"68"	"Acacia genistifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.555555555	NA
"69"	"Acacia gerrardii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.39	NA	NA	NA	NA	NA	NA
"70"	"Acacia haematoxylon"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.415	NA	NA	NA	NA	NA	NA
"71"	"Acacia hakeoides"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4986267415	NA
"72"	"Acacia havilandii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74	NA	NA	NA	NA	NA	NA
"73"	"Acacia havilandiorum"	NA	NA	NA	NA	NA	NA	NA	NA	4.580500113	1.48301974887273	1.4561738913	NA	NA	NA	3.389102572	2.649581641
"74"	"Acacia hayesii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.767516441	NA
"75"	"Acacia hebeclada"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.02666666666667	NA	NA	NA	NA	NA	NA
"76"	"Acacia holosericea"	NA	NA	NA	NA	NA	NA	NA	NA	5.441340782	1.948	NA	NA	NA	NA	3.58	NA
"77"	"Acacia homalophylla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.221234981	NA
"78"	"Acacia implexa"	NA	NA	NA	NA	NA	NA	NA	NA	2.3144177535	5.4077389833	NA	3.397	NA	2.914	17.15059527075	NA
"79"	"Acacia irrorata"	NA	NA	NA	NA	NA	NA	NA	NA	2.301023656	5.154	NA	2.936	NA	2.982	19.3162263083333	NA
"80"	"Acacia jonesii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.3	NA
"81"	"Acacia karroo"	NA	NA	NA	NA	NA	NA	NA	NA	4.039	3.0157042	NA	NA	NA	NA	10	NA
"82"	"Acacia koa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.755	NA	NA	NA	NA	10.548523206	NA
"83"	"Acacia lebbeck"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA
"84"	"Acacia ligulata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.260272727	NA
"85"	"Acacia lineata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.641241379	NA
"86"	"Acacia longifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.653068161	NA
"87"	"Acacia longissima"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1890894015	NA
"88"	"Acacia luederitzii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.649392875	NA	NA	NA	NA	NA	NA
"89"	"Acacia mangium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35666666666667	NA	NA	NA	NA	NA	NA
"90"	"Acacia mearnsii"	NA	NA	NA	NA	NA	NA	NA	NA	2.292636493	4.412	NA	3.208	NA	2.856	19.342868196	NA
"91"	"Acacia melanoxylon"	NA	NA	NA	NA	NA	NA	NA	NA	2.55657986231579	4.49688520211111	NA	3.38519999998	NA	2.52775	16.5462308386667	NA
"92"	"Acacia mellifera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.47357533333333	NA	NA	NA	NA	5.52	NA
"93"	"Acacia mimula"	NA	NA	NA	NA	NA	NA	NA	NA	4.444651162	2.389	NA	NA	NA	NA	5.375	NA
"94"	"Acacia muelleriana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.135443037	NA
"95"	"Acacia myrtifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.3054454715	NA
"96"	"Acacia nigrescens"	NA	NA	NA	NA	NA	NA	NA	NA	4.51122	3.028125	NA	NA	NA	NA	NA	NA
"97"	"Acacia nilotica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.297099	NA	NA	NA	NA	NA	NA
"98"	"Acacia olgana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.965	NA	NA	NA	NA	NA	NA
"99"	"Acacia oswaldii"	NA	NA	NA	NA	NA	NA	NA	NA	4.85185943433333	1.84637987823333	NA	NA	NA	NA	3.79080990875	NA
"100"	"Acacia paradoxa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2043075635	NA
"101"	"Acacia parramattensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.345987011	NA
"102"	"Acacia pennata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.174164232	NA	NA	NA	NA	NA	NA
"103"	"Acacia penninervis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.939504256	NA
"104"	"Acacia praecox"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.446	NA
"105"	"Acacia robusta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3525	NA	NA	NA	NA	7.32	NA
"106"	"Acacia rugata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.07	NA	NA	NA	NA	NA	NA
"107"	"Acacia saligna"	NA	NA	NA	NA	NA	NA	NA	NA	2.429552044	5.27058117005	NA	3.885	NA	2.921	21.8444371945	NA
"108"	"Acacia seyal"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.468	NA	NA	NA	NA	NA	NA
"109"	"Acacia sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5052380952381	NA	NA	NA	NA	4.496077226	NA
"110"	"Acacia stenophylla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.57	NA
"111"	"Acacia suaveolens"	NA	NA	NA	NA	NA	NA	NA	NA	4.200362749	1.97007511356	NA	NA	NA	NA	6.51392754466667	NA
"112"	"Acacia terminalis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.134499207	NA
"113"	"Acacia tetragonophylla"	NA	NA	NA	NA	NA	NA	NA	NA	2.438428251	3.97577539735	NA	3.439	NA	2.976	7.510414220625	NA
"114"	"Acacia tindaleae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.348913043	NA
"115"	"Acacia tortilis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2209525	NA	NA	NA	1.481068	NA	NA
"116"	"Acacia trineura"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.977637641	NA
"117"	"Acacia truncata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	NA	NA	NA	NA	NA	NA
"118"	"Acacia ulicifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.288349514	NA
"119"	"Acacia uncinata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.937640086	NA
"120"	"Acacia victoriae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33	NA
"121"	"Acacia wilhelmiana"	NA	NA	NA	NA	NA	NA	NA	NA	3.048681456	1.98350625338333	NA	NA	NA	NA	5.7643029076	NA
"122"	"Acaena anserinifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.453986044	NA
"123"	"Acaena magellanica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.616	NA	NA	NA	1.46	NA	NA
"124"	"Acaena tenera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.165	NA	NA	NA	1.88	NA	NA
"125"	"Acalypha caturus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1666666666667	NA
"126"	"Acalypha communis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.315	NA	NA	NA	NA	7.66340393675	NA
"127"	"Acalypha diversifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5627459	NA
"128"	"Acalypha macrostachya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.155599117	NA	NA	NA	NA	30.556727597	NA
"129"	"Acalypha skutchii"	NA	NA	NA	NA	NA	NA	NA	NA	0.6717086685	2.582	NA	NA	NA	NA	38.4546843785	NA
"130"	"Acamptopappus shockleyi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.48	NA	NA	NA	NA	NA	NA
"131"	"Acantholimon diapensioides"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.8419597175	NA
"132"	"Acanthopanax gracilistylus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.666666666	NA
"133"	"Acanthopanax senticosus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.037037037	NA
"134"	"Acanthopsis disperma"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.21920668	NA
"135"	"Acanthosicyos horridus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.207	NA	NA
"136"	"Acanthus ilicifolius"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.109826589	NA
"137"	"Acer campestre"	18.923244652	NA	NA	NA	NA	NA	NA	NA	1.56014660925	2.25187958114444	NA	NA	NA	NA	15.7497096203478	22.8
"138"	"Acer caudatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.809523809	NA
"139"	"Acer davidii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.492753623	NA
"140"	"Acer ginnala"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.327	NA	NA	NA	NA	21.2719298245	NA
"141"	"Acer japonicum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.467532467	NA
"142"	"Acer laxiflorum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.333333333	NA
"143"	"Acer longipes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.315789473	NA
"144"	"Acer macrophyllum"	NA	NA	NA	NA	NA	NA	NA	NA	0.893461486	2.64	NA	NA	NA	NA	29.548	NA
"145"	"Acer mono"	NA	NA	NA	NA	NA	NA	NA	NA	0.904	1.6	NA	NA	NA	NA	24.756318447	NA
"146"	"Acer monspessulanum"	NA	NA	NA	NA	NA	NA	NA	NA	1.59477909633333	1.970065	NA	NA	NA	NA	12.2650994575	NA
"147"	"Acer negundo"	14.171024791	NA	NA	NA	NA	NA	NA	NA	1.486565731	2.6770617994875	NA	1.67	NA	NA	19.577912848381	NA
"148"	"Acer opalus"	NA	NA	NA	NA	NA	NA	NA	NA	1.849512	3.27	NA	NA	NA	NA	16.286836397	NA
"149"	"Acer palmatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.857949147	NA
"150"	"Acer pennsylvanicum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.679738562	NA
"151"	"Acer pensylvanicum"	NA	NA	NA	NA	NA	NA	NA	NA	1.10333333333333	2.12017142857143	NA	NA	NA	NA	25.3163333333333	NA
"152"	"Acer platanoides"	NA	NA	NA	NA	NA	NA	NA	NA	0.8294829146	1.98897058822941	NA	NA	NA	NA	19.262441040451	18.8
"153"	"Acer pseudoplatanus"	NA	19.8	NA	NA	NA	NA	NA	NA	1.5362652715	2.37220588234118	NA	NA	NA	NA	15.3760270596629	25.9
"154"	"Acer rubrum"	25.6535413846154	73.025	NA	NA	NA	NA	NA	NA	1.03781748109524	1.80438596874948	NA	0.489538883825714	NA	0.35408	19.9110935035614	NA
"155"	"Acer saccharinum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.366667	NA	NA	NA	NA	23.8682488435714	NA
