"obsNsubID"	"obsID"	"GenusSpecies"	"Genus"	"Species"	"status"	"subObsID"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"1"	1	1	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	80	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	24.87398798715	NA
"2"	2	1	"Stipa robusta"	"Stipa"	"robusta"	"N"	2	NA	NA	NA	NA	33.6619981153846	NA	NA	NA	NA	NA	NA	NA	1.72849487062963	1.83979712241017	NA	1.05568694444444	NA	NA	9.81537755621333	NA
"3"	3	1	"Stipa comata"	"Stipa"	"comata"	"N"	3	NA	NA	NA	NA	33.6619981153846	NA	NA	NA	NA	NA	NA	NA	1.72849487062963	1.83979712241017	NA	1.05568694444444	NA	NA	9.81537755621333	NA
"4"	4	1	"Bouteloua gracilis"	"Bouteloua"	"gracilis"	"N"	4	NA	NA	NA	NA	38.6825611	NA	NA	NA	NA	NA	NA	NA	1.1323928528	1.64469984723846	NA	1.95523591666667	NA	NA	14.5533374175882	NA
"5"	5	1	"Bouteloua curtipendula"	"Bouteloua"	"curtipendula"	"N"	5	NA	NA	NA	NA	38.6825611	NA	NA	NA	NA	NA	NA	NA	1.1323928528	1.64469984723846	NA	1.95523591666667	NA	NA	14.5533374175882	NA
"6"	6	1	"Andropogon gerardii"	"Andropogon"	"gerardii"	"N"	6	NA	NA	NA	NA	36.8424588395349	NA	NA	NA	NA	NA	NA	NA	0.748894827613636	1.27157571591954	NA	0.87497063333	NA	NA	18.4975976114898	NA
"7"	7	2	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	62	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	8	2	"Verbesina alternifolia"	"Verbesina"	"alternifolia"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35677419354839	2.3584	NA	NA	NA	NA	20.0099358273077	NA
"9"	9	2	"Platanus occidentalis"	"Platanus"	"occidentalis"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.239729796	1.90189925	NA	NA	NA	0.1092	18.3826449972	NA
"10"	10	2	"Pilea pumila"	"Pilea"	"pumila"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	NA	NA	28.5989624895	NA
"11"	11	2	"Lirodendron tulipifera"	"Lirodendron"	"tulipifera"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	12	2	"Agrostis perrenans"	"Agrostis"	"perrenans"	"N"	6	NA	NA	NA	NA	15.6967900701429	NA	NA	NA	NA	NA	NA	NA	1.43179934308333	2.2670079737686	NA	0.912156657894737	NA	NA	28.8458028426071	31.2
"13"	13	2	"Acer negundo"	"Acer"	"negundo"	"N"	7	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"14"	14	3	"Fallopia japonica"	"Fallopia"	"japonica"	"I"	1	NA	NA	NA	0	22.4074455473333	NA	NA	NA	NA	NA	NA	NA	1.21725562666667	2.3012781918	NA	NA	NA	NA	26.1718074020714	NA
"15"	15	3	"Populus deltoides"	"Populus"	"deltoides"	"N"	2	NA	NA	NA	NA	23.8663902931667	65.5	NA	NA	NA	NA	NA	NA	1.9023165061	2.29739400032426	0.56345	1.86553333333333	NA	1.08183048387097	15.4890381721282	14.7
"16"	16	3	"Carya ovata"	"Carya"	"ovata"	"N"	3	NA	NA	NA	NA	29.15	38.5	NA	NA	NA	NA	NA	NA	1.39481235322727	1.85680294285714	NA	1.525	NA	NA	18.4573367723548	NA
"17"	17	3	"Acer saccharum"	"Acer"	"saccharum"	"N"	4	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"18"	18	3	"Acer saccharinum"	"Acer"	"saccharinum"	"N"	5	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"19"	19	4	"Typha x glauca"	"Typha"	"glauca"	"I"	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.6570788309875	NA	NA	1.8374014125	NA	10.05144368446	NA
"20"	20	4	"Schoenoplectus americanus"	"Schoenoplectus"	"americanus"	"N"	2	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	21	4	"Schoenoplectus acutus"	"Schoenoplectus"	"acutus"	"N"	3	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	22	4	"Juncus nodosus"	"Juncus"	"nodosus"	"N"	4	NA	NA	0	32	42.613447229	NA	NA	NA	NA	NA	NA	NA	2.3357836954	1.84275933945526	0.758215	NA	1.65512707876231	NA	13.0812099304583	NA
"23"	23	4	"Juncus articulatus"	"Juncus"	"articulatus"	"N"	5	NA	NA	0	13	42.613447229	NA	NA	NA	NA	NA	NA	NA	2.3357836954	1.84275933945526	0.758215	NA	1.65512707876231	NA	13.0812099304583	NA
"24"	24	4	"Eleocharis smallii"	"Eleocharis"	"smallii"	"N"	6	NA	NA	0	51	NA	NA	NA	NA	NA	NA	NA	NA	1.3664	1.55425	NA	NA	NA	NA	24.1760645989615	NA
"25"	25	4	"Eleocharis intermedia"	"Eleocharis"	"intermedia"	"N"	7	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	1.3664	1.55425	NA	NA	NA	NA	24.1760645989615	NA
"26"	26	4	"Carex hystericina"	"Carex"	"hystericina"	"N"	8	NA	NA	0	0	25.46776652175	NA	NA	NA	NA	NA	NA	NA	1.30280296814706	1.91586635699883	0.813938888888889	NA	1.99926137166667	NA	18.8201307335318	20.3
"27"	27	5	"Rosa multiflora"	"Rosa"	"multiflora"	"I"	1	NA	NA	9	0	25.0231523	NA	NA	NA	NA	NA	NA	NA	0.886721401857143	2.15255318531538	NA	NA	NA	NA	17.4647469851416	20.3666666666667
"28"	28	5	"Lonicera morrowii"	"Lonicera"	"morrowii"	"I"	2	NA	NA	9	0	26.9	NA	NA	NA	NA	NA	NA	NA	1.37402517933333	2.2252416666625	NA	NA	NA	NA	19.0119439878851	44.8
"29"	29	5	"Ampelopsis berevipedunculata"	"Ampelopsis"	"berevipedunculata"	"I"	3	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	30	5	"Acer platanoides"	"Acer"	"platanoides"	"I"	4	NA	NA	9	0	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"31"	31	5	"Vitis novae-angliae"	"Vitis"	"novae-angliae"	"N"	5	NA	NA	NA	NA	15.8111809	NA	NA	NA	NA	NA	NA	NA	0.7394791408	2.46306315789474	NA	NA	NA	NA	27.5062029671923	NA
"32"	32	5	"Viburnum acerifolium"	"Viburnum"	"acerifolium"	"N"	6	NA	NA	NA	NA	19.4348796	NA	NA	NA	NA	NA	NA	NA	1.2896826625	1.68072011110667	NA	NA	NA	NA	16.5837385876056	18.3888888888889
"33"	33	5	"Cornus florida"	"Cornus"	"florida"	"N"	7	NA	NA	NA	NA	22.0223072706667	34.4	NA	NA	NA	NA	NA	NA	0.9280689028	1.96137505011364	0.571575	NA	NA	1.078625	23.5669375490496	21.3
"34"	34	5	"Acer rubrum"	"Acer"	"rubrum"	"N"	8	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"35"	35	6	"Melinis minutiflora"	"Melinis"	"minutiflora"	"I"	1	NA	NA	100	0	14.6	NA	NA	NA	NA	NA	NA	NA	NA	2.24783333333333	NA	NA	NA	NA	14.275796593	NA
"36"	36	6	"Wikstroemia oahuensis"	"Wikstroemia"	"oahuensis"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71	NA	NA	NA	NA	8.467400508	NA
"37"	37	6	"Styphelia tameiameiae"	"Styphelia"	"tameiameiae"	"N"	3	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	1.685855263	0.8425	NA	NA	NA	NA	10.2256982746	NA
"38"	38	6	"Pteridium aquilinum"	"Pteridium"	"aquilinum"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.330374134	2.14166666666667	NA	NA	NA	NA	14.0363602281739	NA
"39"	39	6	"Metrosideros polymorpha"	"Metrosideros"	"polymorpha"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5890629618	0.909319210307692	NA	NA	NA	NA	8.89055428402326	NA
"40"	40	6	"Dodonaea viscosa"	"Dodonaea"	"viscosa"	"N"	6	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	2.41520628484615	1.95506165328667	NA	NA	NA	NA	7.82429010515	NA
"41"	41	6	"Cladonia skottsbergii"	"Cladonia"	"skottsbergii"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	42	7	"Melinis minutiflora"	"Melinis"	"minutiflora"	"I"	1	NA	NA	100	0	14.6	NA	NA	NA	NA	NA	NA	NA	NA	2.24783333333333	NA	NA	NA	NA	14.275796593	NA
"43"	43	7	"Wikstroemia oahuensis"	"Wikstroemia"	"oahuensis"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71	NA	NA	NA	NA	8.467400508	NA
"44"	44	7	"Styphelia tameiameiae"	"Styphelia"	"tameiameiae"	"N"	3	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	1.685855263	0.8425	NA	NA	NA	NA	10.2256982746	NA
"45"	45	7	"Pteridium aquilinum"	"Pteridium"	"aquilinum"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.330374134	2.14166666666667	NA	NA	NA	NA	14.0363602281739	NA
"46"	46	7	"Metrosideros polymorpha"	"Metrosideros"	"polymorpha"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5890629618	0.909319210307692	NA	NA	NA	NA	8.89055428402326	NA
"47"	47	7	"Dodonaea viscosa"	"Dodonaea"	"viscosa"	"N"	6	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	2.41520628484615	1.95506165328667	NA	NA	NA	NA	7.82429010515	NA
"48"	48	7	"Cladonia skottsbergii"	"Cladonia"	"skottsbergii"	"N"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	49	8	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	14	1	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	24.87398798715	NA
"50"	50	8	"Stipa spp"	"Stipa"	"spp"	"N"	2	NA	NA	20	28	33.6619981153846	NA	NA	NA	NA	NA	NA	NA	1.72849487062963	1.83979712241017	NA	1.05568694444444	NA	NA	9.81537755621333	NA
"51"	51	9	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	0	3	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	24.87398798715	NA
"52"	52	9	"Hilaria jamesii"	"Hilaria"	"jamesii"	"N"	2	NA	NA	14	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9927	NA	NA	NA	NA	NA	NA
"53"	53	10	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	27	5	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	24.87398798715	NA
"54"	54	10	"Hilaria jamesii"	"Hilaria"	"jamesii"	"N"	2	NA	NA	3	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9927	NA	NA	NA	NA	NA	NA
"55"	55	11	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	24.87398798715	NA
"56"	56	11	"Artemisia tridentata"	"Artemisia"	"tridentata"	"N"	2	NA	NA	0	50	23.9803451363636	NA	NA	NA	NA	NA	NA	NA	1.46272274552174	2.44142087220763	NA	NA	NA	0.745	18.9653720388696	NA
"57"	57	12	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.1873071688	2.52816994858636	NA	1.03257266666667	NA	NA	24.87398798715	NA
"58"	58	12	"Elymus elymoides"	"Elymus"	"elymoides"	"N"	2	NA	NA	0	20	16.00103421525	NA	NA	NA	NA	NA	NA	NA	1.32247612828571	2.31869674644828	NA	0.890795222222222	NA	NA	24.30661279575	NA
"59"	59	13	"Ailanthus altissima"	"Ailanthus"	"altissima"	"I"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89	NA	NA	NA	NA	14.8232166666667	NA
"60"	60	13	"Ulmus minor"	"Ulmus"	"minor"	"N"	2	NA	NA	NA	NA	21.9145413655	NA	NA	NA	NA	NA	NA	NA	1.71140166035714	2.40123737339057	NA	NA	NA	0.2263	19.5794759454846	29.8
"61"	61	14	"Robinia pseudoacacia"	"Robinia"	"pseudoacacia"	"I"	1	NA	NA	NA	NA	NA	32.2	NA	NA	NA	NA	NA	NA	1.9114346348	3.56958181818182	NA	NA	NA	NA	19.4568923647436	NA
"62"	62	14	"Fraxinus angustifolia"	"Fraxinus"	"angustifolia"	"N"	2	NA	NA	NA	NA	18.6109473048889	47.2285714285714	NA	NA	NA	NA	NA	NA	1.77791141766667	2.20239656873229	NA	NA	NA	0.187435125	17.3833044067651	16.6
"63"	63	15	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	75	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	64	15	"Polygonum spp"	"Polygonum"	"spp"	"N"	2	NA	NA	NA	NA	26.2954640102941	NA	NA	NA	NA	NA	NA	NA	1.81188545785	2.81149612837451	0.7739	NA	NA	NA	27.4173318401792	NA
"65"	65	15	"Juncus spp"	"Juncus"	"spp"	"N"	3	NA	NA	NA	NA	42.613447229	NA	NA	NA	NA	NA	NA	NA	2.3357836954	1.84275933945526	0.758215	NA	1.65512707876231	NA	13.0812099304583	NA
"66"	66	15	"Carex spp"	"Carex"	"spp"	"N"	4	NA	NA	NA	NA	25.46776652175	NA	NA	NA	NA	NA	NA	NA	1.30280296814706	1.91586635699883	0.813938888888889	NA	1.99926137166667	NA	18.8201307335318	20.3
"67"	67	16	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	69	16	"Quercus spp"	"Quercus"	"spp"	"N"	3	NA	NA	NA	NA	23.2264758761585	59.7478260869565	101.955	NA	83.8835	NA	NA	NA	1.88883861208443	1.9137141967259	1.062	1.15580101851852	NA	0.202142844497608	11.2796027793589	13.5692307692308
"69"	70	16	"Fagus grandifolia"	"Fagus"	"grandifolia"	"N"	4	NA	NA	NA	NA	26.9	54.3428571428571	NA	NA	NA	NA	NA	NA	1.28614685377193	2.18088862063029	NA	1.37	NA	0.387020605263158	17.6398152371612	9.1
"70"	71	16	"Betula lenta"	"Betula"	"lenta"	"N"	5	NA	NA	NA	NA	27.9	58.6571428571429	NA	NA	NA	NA	NA	NA	1.85037273245946	2.42195512827123	0.842475	1.95339542917031	NA	0.906104486486486	17.396524295526	16.3
"71"	72	16	"Acer spp"	"Acer"	"spp"	"N"	6	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	1.90333629771647	NA	0.884244024793467	NA	0.358607	19.1842757840205	22.5
"72"	73	17	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	74	17	"Vaccinium spp"	"Vaccinium"	"spp"	"N"	2	2	10	NA	NA	26.6002492	NA	NA	NA	NA	NA	NA	NA	1.31329681614706	1.52192766351534	0.667116666666667	NA	NA	0.6173345	13.7749562971041	12.1142857142857
