"MeasID"	"sppID"	"communityID"	"soilID"	"MeasMatch"	"MeasScale"	"MeasPart"	"MeasType"	"MeasName"	"MeasUnit"	"TRY_DataID"	"TRY_DataIDnum"	"TRY_Unit"	"BGC_Name"
"1"	1	1	NA	NA	1	"species"	"whole"	"abund"	"Stem density"	"ind/m2"	NA	NA	NA	"sppdens"
"2"	2	2	NA	NA	1	"species"	"whole"	"abund"	"Percent cover"	"%"	NA	NA	NA	"spperc"
"3"	3	3	NA	NA	4	"species"	"leaf"	"cn"	"Leaf carbon/nitrogen (C/N) ratio"	"g/g"	"DataID.455"	455	"g/g"	"spcn"
"4"	4	4	NA	NA	2	"species"	"litter"	"cn"	"Litter carbon/nitrogen (C/N) ratio"	"g/g"	"DataID.465"	465	"g/g"	"splittercn"
"5"	5	5	NA	NA	3	"species"	"root"	"cn"	"Coarse root carbon/nitrogen (C/N) ratio"	"g/g"	"DataID.488"	488	"g/g"	"sprootcn"
"6"	6	6	NA	NA	4	"species"	"shoot"	"cn"	"Shoot (aboveground) carbon/nitrogen (C/N)"	"g/g"	NA	NA	NA	"shootcn"
"7"	7	7	NA	NA	4	"species"	"stem"	"cn"	"Stem carbon/nitrogen (C/N) ratio"	"g/g"	"DataID.487"	487	"g/g"	NA
"8"	8	8	NA	NA	5	"species"	"leaf"	"lig_mass"	"Leaf lignin per dry mass"	"g/g"	NA	NA	NA	"spperclig"
"9"	9	9	NA	NA	NA	"species"	"leaf"	"lign"	"Leaf lignin/nitrogen ratio"	"g/g"	NA	NA	NA	"spligN"
"10"	10	10	NA	NA	NA	"species"	"litter"	"lign"	"Litter lignin/nitrogen ratio"	"g/g"	NA	NA	NA	"splitterligN"
"11"	11	11	NA	NA	NA	"species"	"leaf"	"n_area"	"Leaf nitrogen content per area"	"g/m2"	"DataID.65"	65	"g/m2"	NA
"12"	12	12	NA	NA	7	"species"	"leaf"	"n_mass"	"Leaf nitrogen content per dry mass"	"%"	"DataID.15"	15	"%"	"sppercN"
"13"	13	13	NA	NA	6	"species"	"litter"	"n_mass"	"Litter nitrogen content per dry mass"	"%"	"DataID.249"	249	"%"	"splitterpercN"
"14"	14	14	NA	NA	NA	"species"	"root"	"n_mass"	"Root nitrogen content per dry mass"	"%"	"DataID.272"	272	"%"	NA
"15"	15	15	NA	NA	7	"species"	"shoot"	"n_mass"	"Shoot (above ground) biomass nitrogen content per dry mass"	"%"	"DataID.878"	878	"%"	NA
