"obsID"	"value.MeasID_3"	"value.MeasID_4"	"value.MeasID_5"	"value.MeasID_6"	"value.MeasID_7"	"value.MeasID_8"	"value.MeasID_9"	"value.MeasID_10"	"value.MeasID_11"	"value.MeasID_12"	"value.MeasID_13"	"value.MeasID_14"	"value.MeasID_15"	"value.MeasID_16"	"value.MeasID_17"	"value.MeasID_18"
"1"	1	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	100	NA
"17"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	71	NA	NA	NA	NA	71	NA
"33"	3	100	80	NA	NA	NA	NA	NA	NA	100	100	60	80	NA	80	100	60
"49"	4	NA	NA	NA	NA	NA	NA	NA	NA	75	75	NA	NA	NA	NA	75	NA
"65"	5	88	100	NA	NA	NA	NA	NA	NA	88	88	100	NA	NA	NA	88	75
"81"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	86	NA
"97"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	86	NA
"113"	8	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	100	NA
"129"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
"145"	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
"161"	11	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA	NA	NA	100	NA
"177"	12	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	100	NA
"193"	13	NA	100	NA	NA	NA	100	NA	100	NA	100	100	NA	NA	NA	100	NA
"209"	14	NA	100	NA	NA	NA	100	NA	100	100	100	100	NA	NA	NA	100	NA
"225"	15	75	NA	NA	NA	NA	NA	NA	NA	75	75	100	NA	NA	NA	75	NA
"241"	16	80	80	NA	NA	NA	NA	NA	NA	80	100	NA	80	NA	80	80	80
"257"	17	83	67	NA	NA	NA	NA	NA	NA	83	100	NA	67	NA	83	83	83
"273"	18	80	80	NA	NA	NA	NA	NA	NA	100	100	NA	80	NA	80	100	100
"289"	19	83	67	NA	NA	NA	NA	NA	NA	100	100	NA	67	NA	83	100	100
"305"	20	83	67	NA	NA	NA	NA	NA	NA	100	100	NA	67	NA	83	100	100
"321"	21	NA	NA	NA	NA	NA	NA	NA	NA	67	67	NA	NA	NA	NA	67	67
"337"	22	NA	NA	NA	NA	NA	NA	NA	NA	67	100	NA	NA	NA	NA	67	67
"353"	23	NA	100	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA
"369"	24	100	100	NA	NA	NA	NA	NA	100	100	100	NA	100	NA	NA	100	NA
"385"	25	NA	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	100	NA	100	NA
"401"	26	NA	100	NA	NA	NA	100	100	100	67	100	100	NA	NA	NA	100	100
"417"	27	NA	NA	NA	NA	NA	NA	NA	NA	80	80	NA	NA	NA	NA	80	NA
"433"	28	67	NA	NA	NA	NA	NA	NA	NA	100	100	NA	67	NA	NA	100	NA
"449"	29	67	NA	NA	NA	NA	NA	NA	NA	67	67	NA	NA	NA	NA	100	NA
"465"	30	NA	67	NA	NA	NA	NA	NA	NA	NA	100	67	NA	NA	NA	NA	NA
"481"	31	71	71	NA	NA	NA	NA	NA	NA	86	86	NA	NA	NA	71	86	86
"497"	32	71	71	NA	NA	NA	NA	NA	NA	86	86	NA	NA	NA	71	86	86
"513"	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"529"	34	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"545"	35	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"561"	36	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"577"	37	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"593"	38	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"609"	39	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"625"	40	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"641"	41	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"657"	42	NA	NA	NA	NA	NA	NA	NA	NA	60	60	NA	NA	60	NA	60	NA
"673"	43	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	100	NA
"689"	44	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA	NA	NA	100	NA
"705"	45	75	NA	NA	NA	NA	NA	NA	NA	100	100	62	NA	NA	75	100	75
"721"	46	75	NA	NA	NA	NA	NA	NA	NA	100	100	62	NA	NA	75	100	75
"737"	47	75	NA	NA	NA	NA	NA	NA	NA	100	100	62	NA	NA	75	100	75
"753"	48	75	NA	NA	NA	NA	NA	NA	NA	88	88	62	NA	NA	75	88	62
"769"	49	75	NA	NA	NA	NA	NA	NA	NA	88	88	62	NA	NA	75	88	62
"785"	50	78	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA	NA	89	100	89
"801"	51	78	NA	NA	NA	NA	NA	NA	NA	89	89	NA	NA	NA	89	89	78
"817"	52	60	NA	NA	NA	NA	NA	NA	NA	80	90	NA	NA	NA	NA	90	NA
"833"	53	60	60	NA	NA	NA	NA	NA	NA	80	80	NA	60	NA	80	80	NA
"849"	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	NA	NA	NA	NA	64	NA
"865"	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	100	NA
"881"	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	100	NA
"897"	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	100	NA
"913"	58	75	NA	NA	NA	NA	NA	NA	NA	75	100	NA	NA	NA	NA	100	NA
"929"	59	75	NA	NA	NA	NA	NA	NA	NA	75	100	NA	NA	NA	NA	100	NA
"945"	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"961"	61	NA	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA	NA	NA	100	NA
"977"	62	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	75	NA	NA	100	NA
"993"	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	NA	NA	70	NA
"1009"	64	NA	NA	NA	NA	NA	NA	NA	NA	67	78	NA	NA	NA	67	78	NA
"1025"	65	NA	NA	NA	NA	NA	NA	NA	NA	67	78	NA	NA	NA	67	78	NA
"1041"	66	NA	NA	NA	NA	NA	NA	NA	NA	67	78	NA	NA	NA	67	78	NA
"1057"	68	NA	NA	NA	NA	NA	NA	NA	NA	75	88	NA	NA	NA	62	88	62
"1073"	69	NA	NA	NA	NA	NA	NA	NA	NA	83	83	NA	NA	NA	67	83	67
"1089"	70	NA	NA	NA	NA	NA	NA	NA	NA	67	83	NA	NA	NA	67	83	NA
"1105"	71	NA	NA	NA	NA	NA	NA	NA	NA	80	80	NA	NA	NA	80	80	80
"1121"	72	NA	NA	NA	NA	NA	NA	NA	NA	67	83	NA	NA	NA	67	83	NA
"1137"	73	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	100	NA
"1153"	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA
"1169"	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	100	NA
"1185"	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA
"1201"	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	100	NA
"1217"	78	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	100	NA
"1233"	79	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	100	NA	NA	100	NA
"1249"	80	75	NA	NA	NA	NA	NA	NA	NA	75	100	NA	75	NA	NA	75	NA
"1265"	81	71	NA	NA	NA	NA	NA	NA	NA	71	86	NA	NA	NA	NA	86	NA
"1281"	82	NA	NA	NA	NA	NA	NA	NA	NA	67	83	NA	NA	NA	NA	83	NA
"1297"	83	88	NA	NA	NA	NA	NA	NA	NA	88	100	NA	NA	NA	NA	100	NA
"1313"	84	71	NA	NA	NA	NA	NA	NA	NA	71	86	NA	NA	NA	NA	86	NA
"1329"	85	60	NA	NA	NA	NA	NA	NA	NA	80	100	NA	NA	NA	NA	100	NA
"1345"	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	80	NA	NA	60	NA
"1361"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	100	NA
"1377"	88	60	NA	NA	NA	NA	NA	NA	NA	70	90	NA	NA	NA	NA	100	NA
"1393"	89	NA	NA	NA	NA	NA	NA	NA	NA	91	100	NA	NA	NA	NA	100	NA
"1409"	90	60	NA	NA	NA	NA	NA	NA	NA	70	90	NA	NA	NA	NA	100	NA
"1425"	91	60	NA	NA	NA	NA	NA	NA	NA	70	90	NA	NA	NA	NA	100	NA
"1441"	92	NA	NA	NA	NA	NA	NA	NA	NA	67	67	NA	NA	NA	NA	67	NA
"1457"	93	NA	NA	NA	NA	NA	NA	NA	NA	91	100	NA	NA	NA	NA	100	NA
"1473"	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA	NA	NA	75	NA
"1489"	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
"1505"	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA	NA	NA	NA	NA
"1521"	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	NA	NA	NA	NA	NA	NA
"1537"	98	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	80	NA	NA	100	NA
"1553"	99	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	80	NA	NA	100	NA
"1569"	100	100	NA	NA	NA	NA	NA	NA	NA	100	100	NA	80	NA	NA	100	NA
"1585"	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	100	NA
