"obsID"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_12"	"MeasID_13"	"MeasID_15"	"MeasID_16"
"1"	1	49.6284746180615	NA	NA	NA	NA	NA	3.35675688599702	NA	NA	NA
"17"	2	4.26683069444899	9.45584415584416	NA	NA	NA	NA	1.46907172951278	NA	NA	0.0668295714285714
"33"	3	23.2927648327905	48.7061818181818	NA	NA	13.316	8.926	2.16683653044709	0.56869	0.284	0.2924526
"49"	4	0	NA	NA	NA	NA	NA	1.6570788309875	0	1.8374014125	NA
"65"	5	19.0352781173326	34.771	NA	NA	NA	NA	1.59374473499464	1.121	NA	0.211362755
"81"	6	49.5857142857143	66.7857142857143	103.014285714286	NA	NA	NA	2.19240986309524	1.12857142857143	NA	NA
"97"	7	49.5857142857143	66.7857142857143	103.014285714286	NA	NA	NA	2.19240986309524	1.12857142857143	NA	NA
"113"	8	9.85999172700692	NA	NA	NA	NA	NA	0.676230327975034	NA	NA	NA
"129"	9	0	NA	NA	NA	NA	NA	0.278978	NA	NA	NA
"145"	10	6.031784771865	NA	NA	NA	NA	NA	0.6543034567365	NA	NA	NA
"161"	11	22.3399435995	NA	NA	NA	NA	NA	2.20193502495	NA	NA	0
"177"	12	22.3399435995	NA	NA	NA	NA	NA	2.20193502495	NA	NA	NA
"193"	13	8.9645413655	44.615	NA	NA	NA	5.14	2.839161864125	0.05	NA	0.0788
"209"	14	8.60703755314285	41.025	NA	NA	NA	10.185	3.10516531508636	0.06	NA	0.074475
"225"	15	23.594169440261	71.855	NA	NA	NA	NA	1.64253045620715	1.31303847222222	0.913597112607245	NA
"241"	16	20.6880600080222	48.612508940335	20.391	NA	16.7767	NA	2.99195949073292	0.380895	1.288	0.371037466196819
"257"	17	21.6734248733518	40.5104241169459	16.9925	NA	13.9805833333333	NA	1.69129957561076	0.428598611111111	0.271333333333333	0.412086971830682
"273"	18	20.6880600080222	48.612508940335	20.391	NA	16.7767	NA	1.88795949073292	0.380895	0.184	0.371037466196819
"289"	19	21.6734248733518	40.5104241169459	16.9925	NA	13.9805833333333	NA	1.6966329089441	0.428598611111111	0.276666666666667	0.412086971830682
"305"	20	21.6734248733518	40.5104241169459	16.9925	NA	13.9805833333333	NA	1.6866329089441	0.428598611111111	0.266666666666667	0.412086971830682
"321"	21	0	NA	NA	NA	NA	NA	0.46	0	NA	0
"337"	22	0	NA	NA	NA	NA	NA	1.2	0	NA	0
"353"	23	11.16997179975	102.545	NA	NA	NA	NA	2.097317512475	NA	NA	NA
"369"	24	28.0009708574423	115.015	NA	NA	NA	NA	2.02086607368008	NA	NA	NA
