"obsID"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"1"	1	49.6284746180615	NA	NA	NA	NA	NA	NA	NA	1.90378113422654	3.35675688599702	NA	2.26508348518519	NA	NA	36.1353050039669	NA
"17"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46907172951278	NA	NA	NA	NA	16.8738544086494	NA
"33"	3	23.2927648327905	48.7061818181818	NA	NA	NA	NA	NA	NA	1.45362942046924	2.16683653044709	0.56869	1.07679068634929	NA	0.2924526	19.2825836051654	11.94
"49"	4	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.6570788309875	NA	NA	NA	NA	10.05144368446	NA
"65"	5	19.0352781173326	34.771	NA	NA	NA	NA	NA	NA	0.787059013217423	1.59374473499464	1.121	NA	NA	NA	15.5820858451507	15.3306111111111
"81"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.19240986309524	NA	NA	NA	NA	20.312497238775	NA
"97"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.19240986309524	NA	NA	NA	NA	20.312497238775	NA
"113"	8	9.85999172700692	NA	NA	NA	NA	NA	NA	NA	0.497584411605926	0.676230327975034	NA	0.355697562222222	NA	NA	5.93754029849176	NA
"129"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.278978	NA	NA	NA	NA	NA	NA
"145"	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6543034567365	NA	NA	NA	NA	NA	NA
"161"	11	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	NA	NA	NA	28.3890341946364	NA
"177"	12	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA
"193"	13	NA	44.615	NA	NA	NA	5.14	NA	10.16	NA	2.839161864125	0.05	NA	NA	NA	18.6381001144444	NA
"209"	14	NA	41.025	NA	NA	NA	10.185	NA	16.655	1.90758838084444	3.10516531508636	0.06	NA	NA	NA	17.7447080891722	NA
"225"	15	23.594169440261	NA	NA	NA	NA	NA	NA	NA	1.36261803034926	1.64253045620715	1.31303847222222	NA	NA	NA	14.8296681260423	NA
"241"	16	20.6880600080222	48.612508940335	NA	NA	NA	NA	NA	NA	1.22411206477469	2.99195949073292	NA	1.0600090086624	NA	0.371037466196819	14.4148975352559	12.2938461538462
"257"	17	21.6734248733518	40.5104241169459	NA	NA	NA	NA	NA	NA	1.23897619000342	1.69129957561076	NA	0.883340840551998	NA	0.412086971830682	14.3082406622306	12.2639194139194
"273"	18	20.6880600080222	48.612508940335	NA	NA	NA	NA	NA	NA	1.64351747797469	1.88795949073292	NA	1.0600090086624	NA	0.371037466196819	16.9880696711751	16.5538461538462
"289"	19	21.6734248733518	40.5104241169459	NA	NA	NA	NA	NA	NA	1.58848070100342	1.6966329089441	NA	0.883340840551998	NA	0.412086971830682	16.4525507754966	15.8139194139194
"305"	20	21.6734248733518	40.5104241169459	NA	NA	NA	NA	NA	NA	1.58848070100342	1.6866329089441	NA	0.883340840551998	NA	0.412086971830682	16.4525507754966	15.8139194139194
"321"	21	NA	NA	NA	NA	NA	NA	NA	NA	1.048513533	0.46	NA	NA	NA	NA	6.4329303397981	10.65
"337"	22	NA	NA	NA	NA	NA	NA	NA	NA	1.048513533	1.2	NA	NA	NA	NA	6.4329303397981	10.65
"353"	23	NA	102.545	NA	NA	NA	NA	NA	11.63	NA	2.097317512475	NA	NA	NA	NA	NA	NA
"369"	24	28.0009708574423	115.015	NA	NA	NA	NA	NA	9.21	1.40669542631482	2.02086607368008	NA	1.04412980555556	NA	NA	19.1022058754249	NA
"385"	25	NA	NA	NA	NA	NA	NA	NA	NA	2.547257073	1.97934034825714	NA	0.782	1.225	NA	16.0450853251048	NA
"401"	26	NA	70.9	NA	NA	NA	28.3333333333333	43.1333333333333	43.1333333333333	0.862019985933333	1.24333333333333	0.736666666666667	NA	NA	NA	10	10
"417"	27	NA	NA	NA	NA	NA	NA	NA	NA	1.30350178372303	1.63264845955264	NA	NA	NA	NA	12.0072671466792	NA
"433"	28	13.7466478665	NA	NA	NA	NA	NA	NA	NA	0.811014435683333	1.73713022095736	NA	0.34419088888889	NA	NA	17.3232112618278	NA
"449"	29	13.7466478665	NA	NA	NA	NA	NA	NA	NA	0.811014435683333	1.73713022095736	NA	NA	NA	NA	17.3232112618278	NA
"465"	30	NA	39.1	NA	NA	NA	NA	NA	NA	NA	2.168	1.3	NA	NA	NA	NA	NA
"481"	31	15.7896389820476	33.9540816326531	NA	NA	NA	NA	NA	NA	1.39867559979156	1.96522872358883	NA	NA	NA	0.175887352785373	15.3750293498726	18.1497121925693
"497"	32	15.7896389820476	33.9540816326531	NA	NA	NA	NA	NA	NA	1.39867559979156	1.96522872358883	NA	NA	NA	0.175887352785373	15.3750293498726	18.1497121925693
"513"	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"529"	34	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"545"	35	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"561"	36	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"577"	37	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"593"	38	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"609"	39	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"625"	40	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"641"	41	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"657"	42	NA	NA	NA	NA	NA	NA	NA	NA	0.983042455925926	1.41291478857985	NA	NA	1.66	NA	11.0206535286053	NA
"673"	43	31.18510579975	NA	NA	NA	NA	NA	NA	NA	1.02258340415	2.2211830742838	NA	1.26462963333333	NA	NA	29.55792452825	NA
"689"	44	28.215134	NA	NA	NA	NA	NA	NA	NA	1.08044869475	2.45293696944517	NA	NA	NA	NA	31.9537578615833	NA
"705"	45	20.0096529345198	NA	NA	NA	NA	NA	NA	NA	1.46511574491441	1.81280269522969	0.488228125	NA	NA	0.428822916373012	17.0987910358398	10.939010989011
"721"	46	20.0096529345198	NA	NA	NA	NA	NA	NA	NA	1.46511574491441	1.81280269522969	0.488228125	NA	NA	0.428822916373012	17.0987910358398	10.939010989011
"737"	47	20.0096529345198	NA	NA	NA	NA	NA	NA	NA	1.46511574491441	1.81280269522969	0.488228125	NA	NA	0.428822916373012	17.0987910358398	10.939010989011
"753"	48	20.0096529345198	NA	NA	NA	NA	NA	NA	NA	1.20298736166441	1.59741876666005	0.488228125	NA	NA	0.428822916373012	15.4905584508902	8.27651098901099
"769"	49	20.0096529345198	NA	NA	NA	NA	NA	NA	NA	1.20298736166441	1.59741876666005	0.488228125	NA	NA	0.428822916373012	15.4905584508902	8.27651098901099
"785"	50	20.3601164044568	NA	NA	NA	NA	NA	NA	NA	1.41194028726862	1.83953477633669	NA	NA	NA	0.464169258998233	17.3882866276426	13.2346764346764
"801"	51	20.3601164044568	NA	NA	NA	NA	NA	NA	NA	1.17893727993528	1.64808239538589	NA	NA	NA	0.464169258998233	15.958746552132	10.8680097680098
"817"	52	14.4940964565663	NA	NA	NA	NA	NA	NA	NA	1.10508355070635	1.71919513712725	NA	NA	NA	NA	17.3337978763667	NA
"833"	53	13.7595001334317	34.2877470355731	NA	NA	NA	NA	NA	NA	1.18209657230577	1.73688030400458	NA	0.95231575925926	NA	0.175989968899522	13.8211710701813	NA
"849"	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.20070598277527	NA	NA	NA	NA	54.3337675986477	NA
"865"	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.57191056910569	NA	NA	NA	NA	13.028619297081	NA
"881"	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.57191056910569	NA	NA	NA	NA	13.028619297081	NA
"897"	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.57191056910569	NA	NA	NA	NA	13.028619297081	NA
"913"	58	31.5434918123837	NA	NA	NA	NA	NA	NA	NA	0.758883485906981	3.061395623375	NA	NA	NA	NA	21.7787173393291	NA
"929"	59	31.5434918123837	NA	NA	NA	NA	NA	NA	NA	0.758883485906981	3.061395623375	NA	NA	NA	NA	21.7787173393291	NA
"945"	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"961"	61	NA	NA	NA	NA	NA	NA	NA	NA	2.43787528900437	1.16439873118217	NA	NA	NA	NA	5.96264538569965	NA
"977"	62	51.321875879607	NA	NA	NA	NA	NA	NA	NA	1.48276045585619	2.90626058425531	NA	0.971341741665833	NA	NA	36.8086713572194	NA
"993"	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16022129966788	NA	NA	NA	NA	9.42643800022214	NA
"1009"	64	NA	NA	NA	NA	NA	NA	NA	NA	1.09314559291795	1.37159726574446	NA	NA	NA	0.225156988894796	11.7432259122623	NA
"1025"	65	NA	NA	NA	NA	NA	NA	NA	NA	1.09314559291795	1.37159726574446	NA	NA	NA	0.225156988894796	11.7432259122623	NA
"1041"	66	NA	NA	NA	NA	NA	NA	NA	NA	1.09314559291795	1.37159726574446	NA	NA	NA	0.225156988894796	11.7432259122623	NA
"1057"	68	NA	NA	NA	NA	NA	NA	NA	NA	0.593014674150991	0.794145463833759	NA	NA	NA	0.164291478108108	6.80256997473466	4.886
"1073"	69	NA	NA	NA	NA	NA	NA	NA	NA	1.07800191807081	0.599810698696547	NA	NA	NA	0.0373564731578947	3.09233230486094	1.808
"1089"	70	NA	NA	NA	NA	NA	NA	NA	NA	2.19238728462	2.1255156577775	NA	NA	NA	0.0690949	17.0838027225738	NA
"1105"	71	NA	NA	NA	NA	NA	NA	NA	NA	0.69196160553	0.63836437498575	NA	NA	NA	0.0741	4.02102875530216	3.363
"1121"	72	NA	NA	NA	NA	NA	NA	NA	NA	2.56235991393	3.03608690943013	NA	NA	NA	0.21135065	12.4038058576237	NA
"1137"	73	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	NA	NA	NA	NA	21.0437484353448	NA
"1153"	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	NA	NA	2.63	NA	21.0437484353448	NA
"1169"	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	NA	NA	NA	NA	7.42820546733333	NA
"1185"	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	NA	NA	1.67	NA	7.42820546733333	NA
"1201"	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19	0.74	NA	1.19	NA	9.33424978316667	NA
"1217"	78	74.6871021190566	NA	NA	NA	NA	NA	NA	NA	373.19821659801	0.9053068699286	NA	1.39940563749708	NA	NA	19.4878613247173	NA
"1233"	79	59.6746021190566	NA	NA	NA	NA	NA	NA	NA	315.94821659801	0.9928068699286	NA	1.39940563749708	NA	NA	19.4878613247173	NA
"1249"	80	13.5536865567312	NA	NA	NA	NA	NA	NA	NA	0.681649793517408	1.14573733634104	NA	0.501413449444444	NA	NA	8.9833222538197	NA
"1265"	81	20.4446608125417	NA	NA	NA	NA	NA	NA	NA	0.948497968005291	2.05658385159978	NA	NA	NA	NA	19.9227399954177	NA
"1281"	82	NA	NA	NA	NA	NA	NA	NA	NA	0.736725734515531	2.20289046075885	NA	NA	NA	NA	24.5832169201228	NA
"1297"	83	19.9500052776298	NA	NA	NA	NA	NA	NA	NA	0.882537091341045	2.55938525377317	NA	NA	NA	NA	32.2236339672364	NA
"1313"	84	17.0814146062887	NA	NA	NA	NA	NA	NA	NA	1.00183073492114	1.96199530006845	NA	NA	NA	NA	23.6610023500042	NA
"1329"	85	16.0784514275956	NA	NA	NA	NA	NA	NA	NA	1.18281667955027	2.65636911800136	NA	NA	NA	NA	29.8963003732606	NA
"1345"	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.60062998061878	NA	0.71686806666	NA	NA	21.0483939077565	NA
"1361"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75884749638907	NA	0.8914843125	NA	NA	19.0546558071333	NA
"1377"	88	36.530376434	NA	NA	NA	NA	NA	NA	NA	1.0607382144	1.2873492924	NA	NA	NA	NA	20.130607228375	NA
"1393"	89	NA	NA	NA	NA	NA	NA	NA	NA	1.42884410836402	2.20700471399592	NA	NA	NA	NA	20.823725920089	NA
"1409"	90	47.2271145033281	NA	NA	NA	NA	NA	NA	NA	1.80608733215542	3.0802776495088	NA	NA	NA	NA	39.6269587009149	NA
"1425"	91	47.2271145033281	NA	NA	NA	NA	NA	NA	NA	1.80608733215542	3.0802776495088	NA	NA	NA	NA	39.6269587009149	NA
"1441"	92	NA	NA	NA	NA	NA	NA	NA	NA	1.01672860774074	1.9245790488101	NA	NA	NA	NA	14.0481680250375	NA
"1457"	93	NA	NA	NA	NA	NA	NA	NA	NA	1.73504393425455	2.75910914153758	NA	NA	NA	NA	20.9832016905013	NA
