"obsID"	"Meas_19"	"Meas_20"	"Meas_21"	"Meas_22"	"Meas_23"	"Meas_24"	"Meas_25"	"Meas_26"	"Meas_27"	"Meas_28"	"Meas_29"	"Meas_30"
"1"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	2	NA	NA	NA	NA	82.33	NA	NA	NA	NA	NA	NA	NA
"3"	3	NA	NA	858.67	NA	NA	NA	NA	30.52	NA	NA	1.42	NA
"4"	4	2470.5	NA	639.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	8	8.7	NA	NA	NA	51.8	NA	NA	NA	NA	NA	NA	NA
"9"	9	5.5	NA	NA	NA	40.2	NA	NA	NA	NA	NA	NA	NA
"10"	10	NA	NA	NA	NA	30.8	NA	NA	NA	NA	NA	NA	NA
"11"	11	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA
"12"	12	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA
"13"	13	NA	NA	NA	NA	50.85	NA	NA	NA	NA	NA	NA	NA
"14"	14	NA	NA	NA	NA	42.25	NA	NA	NA	NA	NA	NA	NA
"15"	15	NA	71.66	638.84	NA	90.89	80.77	NA	52.19	NA	0.564	1.05	0.11
"16"	16	NA	2.84	137.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	17	NA	6.88	41.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	18	NA	9.77	1129	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	19	NA	12.55	1228	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	20	NA	6.24	1546	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	23	204.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	24	321.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	25	1880	NA	1470	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	27	NA	NA	58.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	30	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA
"31"	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	45	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	46	338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	47	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	48	271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	49	185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
