"obsID"	"articleID"	"author"	"year"	"location"	"ecosystemName"	"studyType"	"ecosystemID"	"multimeas"	"measurement"	"meanC"	"meanT"	"unit"
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"nh"	0.01	0.03	"g/m2"
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"no"	0.02	0.05	"g/m2"
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"toti"	0.04	0.08	"g/m2"
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"ammonif"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"nitrif"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"nminz"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"soilN"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"SOM"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"soilcn"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"microbialcn"	8.95	7.71	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"soilmoi"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"pH"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"plantcov"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"biom"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"litterbiom"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"percN"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"cn"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"litterpercN"	NA	NA	NA
1	1	"Adair and Burke"	2010	"CO USA"	"semi-arid ponderosa pine-grassland ecotone"	"fs"	"g"	"averaged across water addition treatments, active and inactive samples"	"littercn"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"nh"	3.76	3.23	"mg/kg"
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"no"	1.33	1.82	"mg/kg"
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"toti"	5.09	5.05	"mg/kg"
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"ammonif"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"nitrif"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"nminz"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"soilN"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"SOM"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"soilcn"	NA	NA	NA
2	2	"Adams and Engelhardt"	2009	"MD USA"	"deciduous hardwood forest"	"fs"	"f"	NA	"microbialcn"	NA	NA	NA
