"obsID"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_12"	"MeasID_13"	"MeasID_15"	"MeasID_16"
"1857"	1	38.1078236861538	NA	NA	NA	NA	NA	1.91425063924443	NA	NA	NA
"1873"	2	4.97796914352381	11.0318181818182	NA	NA	NA	NA	1.7139170177649	NA	NA	0.0779678333333333
"1889"	3	24.9159560409881	60.8827272727273	NA	NA	0	5	2.06354566305886	0.4833625	0	0.20306575
"1905"	4	19.17605125305	NA	NA	NA	NA	NA	1.71586420275487	0.34119675	0.733737430962269	NA
"1921"	5	24.1499004711538	47.6	NA	NA	NA	NA	2.04147169075196	1.09	NA	0.35817625
"1937"	6	42.699	61.361	77.701	NA	NA	NA	1.67957817361111	0.5977	NA	NA
"1953"	7	42.699	61.361	77.701	NA	NA	NA	1.67957817361111	0.5977	NA	NA
"1969"	8	9.64875890830269	NA	NA	NA	NA	NA	0.537162544524348	NA	NA	NA
"1985"	9	0.670198307985	NA	NA	NA	NA	NA	0.5044520507485	NA	NA	NA
"2001"	10	1.116997179975	NA	NA	NA	NA	NA	1.0267387512475	NA	NA	NA
"2017"	11	11.9901725681818	NA	NA	NA	NA	NA	0.7610177	NA	NA	0.3725
"2033"	12	3.20020684305	NA	NA	NA	NA	NA	0.317575088973334	NA	NA	NA
"2049"	13	17.929082731	41.99	NA	NA	NA	4.91	2.78832372825	0.05	NA	0.1576
"2065"	14	17.2140751062857	52.64	NA	NA	NA	6.03	2.68283063017273	0.05	NA	0.14895
"2081"	15	31.4588925870147	15.0366666666667	NA	NA	NA	NA	2.1900406082762	0.710717962962963	1.21812948347633	NA
"2097"	16	25.8600750100277	60.7656361754188	25.48875	NA	20.970875	NA	2.12994936341615	0.47611875	0	0.463796832746024
"2113"	17	26.0081098480222	48.612508940335	20.391	NA	16.7767	NA	1.85195949073292	0.514318333333333	0.148	0.494504366196819
"2129"	18	25.8600750100277	60.7656361754188	25.48875	NA	20.970875	NA	2.12994936341615	0.47611875	0	0.463796832746024
"2145"	19	26.0081098480222	48.612508940335	20.391	NA	16.7767	NA	1.85195949073292	0.514318333333333	0.148	0.494504366196819
"2161"	20	26.0081098480222	48.612508940335	20.391	NA	16.7767	NA	1.83995949073292	0.514318333333333	0.136	0.494504366196819
"2177"	21	26.6002492	NA	NA	NA	NA	NA	0.68	0.667116666666667	NA	0.6173345
"2193"	22	26.6002492	NA	NA	NA	NA	NA	0.74	0.667116666666667	NA	0.6173345
"2209"	23	0	48.15	NA	NA	NA	NA	1.9927	NA	NA	NA
"2225"	24	33.6619981153846	73.09	NA	NA	NA	NA	1.83979712241017	NA	NA	NA
"2241"	25	0	NA	NA	NA	NA	NA	1.63356371026429	NA	2.19	NA
"2257"	26	NA	74.7	NA	NA	NA	35.2	1.01	0.76	NA	NA
"2273"	27	17.35897541175	17.5666666666667	NA	NA	NA	NA	1.21966474111163	NA	NA	0.0318380952380952
"2289"	28	0	NA	NA	NA	NA	NA	2.68	NA	NA	1.32042
"2305"	29	0	NA	NA	NA	NA	NA	0	NA	NA	NA
"2321"	30	NA	16.375	NA	NA	NA	NA	0.503	0.225	NA	0
"2337"	31	14.9576003207222	39.6130952380952	33.985	NA	27.9611666666667	NA	1.89292425159622	0.354	NA	0.205201911582935
"2353"	32	14.9576003207222	39.6130952380952	33.985	NA	27.9611666666667	NA	1.89292425159622	0.354	NA	0.205201911582935
"2369"	33	0	NA	NA	NA	NA	NA	0	NA	NA	0
"2385"	34	8.41549952884615	NA	NA	NA	NA	NA	1.14443852579655	NA	1.2	0
"2401"	35	8.41549952884615	NA	NA	NA	NA	NA	1.14443852579655	NA	1.2	0
