"obsID"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"1857"	1	38.1078236861538	NA	NA	NA	NA	NA	NA	NA	1.24303721835185	1.91425063924443	NA	1.72683042222222	NA	NA	16.1088931779093	NA
"1873"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7139170177649	NA	NA	NA	NA	19.6861634767576	NA
"1889"	3	24.9159560409881	60.8827272727273	NA	NA	NA	NA	NA	NA	1.51272286891989	2.06354566305886	0.4833625	1.34598835793661	NA	0.20306575	18.7299992307901	14.925
"1905"	4	NA	NA	NA	NA	NA	NA	NA	NA	1.90585866293	1.71586420275487	NA	NA	NA	NA	11.7709637686058	NA
"1921"	5	24.1499004711538	47.6	NA	NA	NA	NA	NA	NA	1.01787671719256	2.04147169075196	1.09	NA	NA	NA	20.9025003852009	15.5472222222222
"1937"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67957817361111	NA	NA	NA	NA	10.1608363204787	NA
"1953"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67957817361111	NA	NA	NA	NA	10.1608363204787	NA
"1969"	8	9.64875890830269	NA	NA	NA	NA	NA	NA	NA	0.494827523596296	0.537162544524348	NA	0.30591807111111	NA	NA	3.0321960576861	NA
"1985"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5044520507485	NA	NA	NA	NA	NA	NA
"2001"	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0267387512475	NA	NA	NA	NA	NA	NA
"2017"	11	11.9901725681818	NA	NA	NA	NA	NA	NA	NA	1.1660935525	0.7610177	NA	NA	NA	NA	4.1097154806875	NA
"2033"	12	3.20020684305	NA	NA	NA	NA	NA	NA	NA	0.1952881538	0.317575088973334	NA	0.126666666666667	NA	NA	2.78	NA
"2049"	13	NA	41.99	NA	NA	NA	4.91	NA	10.3	NA	2.78832372825	0.05	NA	NA	NA	22.4529835622222	NA
"2065"	14	NA	52.64	NA	NA	NA	6.03	NA	12.24	1.90374212688889	2.68283063017273	0.05	NA	NA	NA	15.8645467886522	NA
"2081"	15	31.4588925870147	NA	NA	NA	NA	NA	NA	NA	1.81682404046569	2.1900406082762	0.710717962962963	NA	NA	NA	19.7728908347231	NA
"2097"	16	25.8600750100277	60.7656361754188	NA	NA	NA	NA	NA	NA	1.53014008096836	2.12994936341615	NA	1.325011260828	NA	0.463796832746024	18.0186219190699	15.3673076923077
"2113"	17	26.0081098480222	48.612508940335	NA	NA	NA	NA	NA	NA	1.4867714280041	1.85195949073292	NA	1.0600090086624	NA	0.494504366196819	17.1698887946767	14.7167032967033
"2129"	18	25.8600750100277	60.7656361754188	NA	NA	NA	NA	NA	NA	1.53014008096836	2.12994936341615	NA	1.325011260828	NA	0.463796832746024	18.0186219190699	15.3673076923077
"2145"	19	26.0081098480222	48.612508940335	NA	NA	NA	NA	NA	NA	1.4867714280041	1.85195949073292	NA	1.0600090086624	NA	0.494504366196819	17.1698887946767	14.7167032967033
"2161"	20	26.0081098480222	48.612508940335	NA	NA	NA	NA	NA	NA	1.4867714280041	1.83995949073292	NA	1.0600090086624	NA	0.494504366196819	17.1698887946767	14.7167032967033
"2177"	21	NA	NA	NA	NA	NA	NA	NA	NA	1.31329681614706	0.68	NA	NA	NA	NA	13.7749562971041	12.1142857142857
"2193"	22	NA	NA	NA	NA	NA	NA	NA	NA	1.31329681614706	0.74	NA	NA	NA	NA	13.7749562971041	12.1142857142857
"2209"	23	NA	48.15	NA	NA	NA	NA	NA	8.19	NA	1.9927	NA	NA	NA	NA	NA	NA
