"obsID"	"Meas_19"	"Meas_20"	"Meas_21"	"Meas_22"	"Meas_23"	"Meas_24"	"Meas_25"	"Meas_26"	"Meas_27"	"Meas_28"	"Meas_29"	"Meas_30"
"117"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	2	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA
"119"	3	NA	NA	371.63	NA	NA	NA	NA	25.46	NA	NA	1.63	NA
"120"	4	177.3	NA	290	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"122"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"124"	8	3.1	NA	NA	NA	59	NA	NA	NA	NA	NA	NA	NA
"125"	9	2.4	NA	NA	NA	39.8	NA	NA	NA	NA	NA	NA	NA
"126"	10	NA	NA	NA	NA	50.6	NA	NA	NA	NA	NA	NA	NA
"127"	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	13	NA	NA	NA	NA	54.75	NA	NA	NA	NA	NA	NA	NA
"130"	14	NA	NA	NA	NA	47.85	NA	NA	NA	NA	NA	NA	NA
"131"	15	NA	79.62	614.12	NA	76.22	47.98	NA	44.65	NA	1.036	1.4	0.13
"132"	16	NA	13.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	17	NA	19.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	18	NA	19.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"135"	19	NA	25.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"136"	20	NA	28.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	23	64.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	24	169.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	25	590	NA	1930	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	27	NA	NA	5578.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	30	NA	NA	NA	NA	43.9	NA	NA	NA	NA	NA	NA	NA
"147"	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"150"	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"154"	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"155"	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"156"	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	45	573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	46	427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	47	532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"164"	48	573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"165"	49	427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
