obsID	litterbiom_inv	litterbiom_nat	rootbiom_inv	rootbiom_nat	biom_inv	biom_nat	plantdens_inv	plantdens_nat	plantcov_inv	plantcov_nat	littercn_inv	littercn_nat	rootcn_inv	rootcn_nat	cn_inv	cn_nat	litterperclig_inv	litterperclig_nat	litterpercN_inv	litterpercN_nat	percN_inv	percN_nat	rs_inv	rs_nat												
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
2	NA	NA	NA	NA	NA	NA	NA	NA	82.33	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
3	NA	NA	NA	NA	858.67	371.63	NA	NA	NA	NA	NA	NA	NA	NA	30.52	25.46	NA	NA	NA	NA	1.42	1.63	NA	NA												
4	2470.50	177.30	NA	NA	639.60	290.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
8	8.70	3.10	NA	NA	NA	NA	NA	NA	51.8	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
9	5.50	2.40	NA	NA	NA	NA	NA	NA	40.2	39.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
10	NA	NA	NA	NA	NA	NA	NA	NA	30.8	50.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
11	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
12	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
13	NA	NA	NA	NA	NA	NA	NA	NA	50.85	54.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
14	NA	NA	NA	NA	NA	NA	NA	NA	42.25	47.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
15	NA	NA	71.66	79.62	638.84	614.12	NA	NA	90.89	76.22	80.77	47.98	NA	NA	52.19	44.65	NA	NA	0.564	1.036	1.05	1.40	0.11	0.13												
16	NA	NA	2.84	13.04	137.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
17	NA	NA	6.88	19.37	41.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
18	NA	NA	9.77	19.97	1129.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
19	NA	NA	12.55	25.04	1228.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
20	NA	NA	6.24	28.27	1546.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
23	204.35	64.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
24	321.12	169.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
25	1880	590	NA	NA	1470	1930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
27	NA	NA	NA	NA	58.20	5578.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
30	NA	NA	NA	NA	NA	NA	NA	NA	100	43.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA												
