obsID	articleID	author	year	location	ecosystemName	studyType	ecosystemID	multimeas	aggregation?	Potential reasons to exclude	nh_I	nh_C	no_I	no_C	toti_I	toti_C	Units_npool	ammon_I	ammon_C	nitrif_I	nitrif_C	nminz_I	nminz_C	Units_nflux	soilN_I	soilN_C	Units_soilN	SOM_I	SOM_C	Units_SOM	soilcn_I	soilcn_C	Units_soilcn	microbialcn_I	microbialcn_C	soilmoi_I	soilmoi_C	Units_soilmoi	pH_I	pH_C	plantcov_inv	plantcov_nat	Units_plantcov	biom_inv	biom_nat	Units_biom	litterbiom_inv	litterbiom_nat	Units_litterbiom	percN_inv	percN_nat	Units_percN	cn_inv	cn_nat	Units_cn	litterpercN_inv	litterpercN_nat	Units_litterpercN	littercn_inv	littercn_nat	Units_littercn	NOTES
1	1	Adair and Burke	2010	CO USA	semi-arid ponderosa pine-grassland ecotone	fs	g	"averaged across water addition treatments, active and inactive samples"	NA	NA	0.03	0.01	0.05	0.02	0.08	0.04	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.71	8.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	Adams and Engelhardt	2009	MD USA	deciduous hardwood forest	fs	f	NA	NA	NA	3.23	3.76	1.82	1.33	5.05	5.09	mg/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.83	29.93	%	6.04	6.06	82.33	50	%	NA	NA	NA	29.28	25.39	cm?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	litter measurements in Table 2 are depth measurements (no units provided!?)
3	3	Aguilera et al.	2010	MA USA	deciduous hardwood forest	fs	f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5800	0.3600	5.0900	4.1100	5.6800	4.4800	ug/g*day	0.17	0.17	%	NA	NA	NA	64.12	59.18	g/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	858.67	371.63	g/m2	NA	NA	NA	1.42	1.63	%	30.52	25.46	g/g	NA	NA	NA	NA	NA	NA	NA
4	4	Angeloni et al.	2006	MI USA	freshwater wetland	fs	w	NA	NA	NA	77.97	2.59	6.44	0.36	84.41	2.95	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.08	1.98	%	NA	NA	NA	NA	NA	80.20	26.60	%	7.52	8.15	NA	NA	NA	639.60	290.00	g/m2	2470.50	177.30	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	5	Ashton et al.	2005	NY USA	deciduous hardwood forest	fs	f	NA	NA	NA	4.70	3.50	4.50	4.75	9.20	8.25	mg/kg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.75	3.50	%	NA	NA	NA	NA	NA	20.90	17.60	%	4.50	4.15	NA	NA	NA	NA	NA	NA	13.26	11.63	g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"litter measurements are litterfall, not standing litter"
6	6	Asner and Beatty	1996	HI USA	moist shrubland	fs	g	wet	NA	NA	1.97	1.27	NA	NA	NA	NA	ug/g	7.9049	2.2976	1.1781	0.4977	NA	NA	ug/g*month	6139.00	6407.00	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	19.00	25.00	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	6	Asner and Beatty	1996	HI USA	moist shrubland	fs	g	dry	NA	NA	10.12	7.47	NA	NA	NA	NA	ug/g	9.4538	4.9196	2.9710	2.9245	NA	NA	ug/g*month	6139.00	6407.00	mg/g	NA	NA	NA	NA	NA	NA	NA	NA	11.00	13.00	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	7	Belnap and Phillips	2001	UT USA	semi-arid desert	fs	g	S-dominated	NA	NA	15.30	17.00	9.20	9.80	24.50	26.80	ug/g	NA	NA	NA	NA	2.3000	0.8000	ug/g*time?	455.00	354.00	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.50	7.60	51.8	59	%	NA	NA	NA	8.70	3.10	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	7	Belnap and Phillips	2001	UT USA	semi-arid desert	fs	g	H-dominated	NA	NA	12.20	9.50	8.50	8.30	20.70	17.80	ug/g	NA	NA	NA	NA	4.5000	8.5000	ug/g*time?	378.00	352.00	ug/g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.60	7.60	40.2	39.8	%	NA	NA	NA	5.50	2.40	g/m2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	8	Belnap et al.	2005	UT USA	semi-arid desert	fs	g	NA	NA	NA	9.70	9.50	7.70	8.30	17.40	17.80	ppm	NA	NA	NA	NA	NA	NA	NA	385.00	385.00	ppm	0.70	0.90	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.8	50.6	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
