"nh.nh_I"	"nh.nh_C"	"no.no_I"	"no.no_C"	"toti.toti_I"	"toti.toti_C"	"ammon.ammon_I"	"ammon.ammon_C"	"nitrif.nitrif_I"	"nitrif.nitrif_C"	"nminz.nminz_I"	"nminz.nminz_C"	"soilN.soilN_I"	"soilN.soilN_C"	"SOM.SOM_I"	"SOM.SOM_C"	"soilcn.soilcn_I"	"soilcn.soilcn_C"	"microbialcn.microbialcn_I"	"microbialcn.microbialcn_C"	"soilmoi.soilmoi_I"	"soilmoi.soilmoi_C"	"pH.pH_I"	"pH.pH_C"
"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.99	10.44	NA	NA	NA	NA
"2"	3.23	3.76	1.82	1.33	5.05	5.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.83	29.93	6.04	6.06
"3"	NA	NA	NA	NA	NA	NA	1.627	1.407	6.096	5.116	8.66	7.46	0.17	0.17	NA	NA	74.8	69.03	NA	NA	NA	NA	NA	NA
"4"	77.97	2.59	6.44	0.36	84.41	2.95	NA	NA	NA	NA	NA	NA	NA	NA	8.08	1.98	NA	NA	NA	NA	80.2	26.6	7.52	8.15
"5"	4.7	3.5	4.5	4.75	9.2	8.25	NA	NA	NA	NA	NA	NA	NA	NA	2.75	3.5	NA	NA	NA	NA	20.9	17.6	4.5	4.15
"6"	1.97	1.27	NA	NA	NA	NA	1.3105	1.1236	1.0453	1.0226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	25	NA	NA
"7"	10.12	7.47	NA	NA	NA	NA	1.3621	1.211	1.105	1.1035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	13	NA	NA
"8"	15.3	17	9.2	9.8	24.5	26.8	NA	NA	NA	NA	NA	NA	0.05	0.04	NA	NA	NA	NA	NA	NA	NA	NA	7.5	7.6
"9"	12.2	9.5	8.5	8.3	20.7	17.8	NA	NA	NA	NA	NA	NA	0.04	0.04	NA	NA	NA	NA	NA	NA	NA	NA	7.6	7.6
"10"	9.7	9.5	7.7	8.3	17.4	17.8	NA	NA	NA	NA	NA	NA	0.04	0.04	0.7	0.9	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2.25	1.65	0.3	0.54	2.55	2.19	2.387	1.697	1.496	1.346	4.5	3.71	0.12	0.09	NA	NA	NA	NA	NA	NA	10.24	10.4	NA	NA
"12"	2.53	2.16	5.43	1.95	7.96	4.1	NA	NA	6.021	4.426	NA	NA	0.12	0.08	NA	NA	NA	NA	NA	NA	10.24	8.62	NA	NA
"13"	19.64	22.42	29.05	27.67	48.29	50.61	NA	NA	NA	NA	NA	NA	NA	NA	4.83	5.2	NA	NA	NA	NA	21.8	24.73	8.14	8.09
"14"	18.19	21.5	24.78	18.03	43.33	40.48	NA	NA	NA	NA	NA	NA	NA	NA	4.3	4.33	NA	NA	NA	NA	18.7	23	7.92	7.83
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	3.2	6.46	2.17	0.09	5.38	6.55	8.9352	15.6126	10.0967	6.1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.49	4.82
"17"	4.7	4.72	3.41	0.29	8.1	5.01	12.8633	14.1197	12.5208	8.809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.49	4.43
"18"	3.45	6.43	3.01	0.11	6.46	6.53	12.362	15.402	10.141	4.911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.76	4.82
"19"	11.37	4.77	1.02	0.29	12.39	5.06	28.462	13.992	10.671	4.016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.09	4.43
"20"	3.06	1.96	0.21	0.1	3.26	2.06	12.157	9.302	2.491	1.661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.96	4.55
"21"	2.22	0.54	1.39	4.08	3.61	4.62	1.012	1.092	2.278	1.185	NA	NA	NA	NA	6.1	2.73	NA	NA	NA	NA	NA	NA	5.89	5.12
"22"	1.72	0.98	0.48	0.64	2.2	1.62	1.001	1.0001	2.015	1.358	NA	NA	NA	NA	4.45	1.65	NA	NA	NA	NA	NA	NA	5.97	4.83
"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	NA	NA	NA	NA	2.4	2.1	NA	NA	1.011	1.027	2.992	2.988	NA	NA	NA	NA	NA	NA	NA	NA	67	71	3.7	3.5
"27"	NA	NA	NA	NA	NA	NA	NA	NA	3.606	2.096	6.68	4.19	NA	NA	NA	NA	20.65	21.52	NA	NA	34.1	32.9	NA	NA
"28"	1.3	1.17	0.32	5.74	1.62	6.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.94	18.77	NA	NA
"29"	1.3	0.96	0.32	0.63	1.62	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.94	19.53	5.8	5.9
"30"	4.92	0.72	1.55	0.68	6.47	1.4	NA	NA	NA	NA	NA	NA	NA	NA	2.59	0.33	NA	NA	NA	NA	NA	NA	5.75	5.63
"31"	NA	NA	NA	NA	5.31	4.55	1.057	1.097	1.056	1.216	3.05	3.24	NA	NA	NA	NA	13.09	14.03	NA	NA	50	27	NA	NA
"32"	NA	NA	NA	NA	0.93	1.12	1.057	1.287	1.436	1.356	3.42	3.58	NA	NA	NA	NA	13.02	14.16	NA	NA	28	29	NA	NA
"33"	NA	NA	11.7	3.32	NA	NA	NA	NA	1.3194	1.1141	3.3345	3.0897	NA	NA	NA	NA	13.42	14	NA	NA	14.79	9.69	6.2	6.7
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.51	4.7571	0.14	0.13	NA	NA	16.33	16.96	NA	NA	NA	NA	NA	NA
"35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2157	4.2871	0.19	0.22	NA	NA	17.25	17.5	NA	NA	NA	NA	NA	NA
"36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7757	3.2957	0.24	0.24	NA	NA	16.38	16.72	NA	NA	NA	NA	NA	NA
"37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1743	3.87	0.2	0.26	NA	NA	19.25	18.31	NA	NA	NA	NA	NA	NA
"38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0243	3.6329	0.22	0.24	NA	NA	18.98	19.83	NA	NA	NA	NA	NA	NA
"39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2657	7.0486	0.32	0.32	NA	NA	13.82	14.62	NA	NA	NA	NA	NA	NA
"40"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.3743	3.94	0.37	0.36	NA	NA	15.51	15.26	NA	NA	NA	NA	NA	NA
"41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9786	5.47	0.31	0.34	NA	NA	25.66	26.52	NA	NA	NA	NA	NA	NA
"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8114	3.9271	0.39	0.4	NA	NA	28.59	30.15	NA	NA	NA	NA	NA	NA
"43"	3.8	2.5	5.6	3.5	9.4	6	NA	NA	NA	NA	NA	NA	NA	NA	3.7	1.7	NA	NA	NA	NA	NA	NA	5.4	7.1
"44"	4.6	2.5	3.2	3.5	7.8	6	NA	NA	NA	NA	NA	NA	NA	NA	3.7	2.2	NA	NA	NA	NA	NA	NA	5.4	5.5
"45"	3.04	12.05	1.02	0.08	4.06	12.13	1.2691	5.4556	2.8046	1.8989	5.0207	8.2771	0.36	0.86	NA	NA	NA	NA	NA	NA	43.78	83.98	6.44	4.23
"46"	5.95	7.05	1.16	0.15	7.11	7.2	1.2934	2.542	5.8303	2.9746	8.07	6.4214	0.44	0.36	NA	NA	NA	NA	NA	NA	43.02	55.18	4.87	4.29
"47"	3.46	8.23	0.79	0.01	4.25	8.24	1.2741	2.4927	2.4774	1.0346	4.7286	4.4757	0.22	1.01	NA	NA	NA	NA	NA	NA	39.44	74.82	5.66	4
