"obsNsubID"	"obsID"	"GenusSpecies"	"Genus"	"Species"	"status"	"subObsID"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"	"invAperc"	"natAperc"
"1"	1	1	"Bromus tectorum"	"Bromus"	"tectorum"	"I"	1	NA	NA	80	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	80	0
"2"	2	1	"Stipa robusta"	"Stipa"	"robusta"	"N"	2	NA	NA	NA	NA	33.6619981153846	NA	NA	NA	NA	NA	NA	NA	1.72849487062963	1.83979712241017	NA	1.05568694444444	NA	NA	9.81537755621333	NA	16.6666666666667	20
"3"	3	1	"Stipa comata"	"Stipa"	"comata"	"N"	3	NA	NA	NA	NA	33.6619981153846	NA	NA	NA	NA	NA	NA	NA	1.72849487062963	2.91488742857143	NA	1.724441	NA	NA	16.95	NA	16.6666666666667	20
"4"	4	1	"Bouteloua gracilis"	"Bouteloua"	"gracilis"	"N"	4	NA	NA	NA	NA	38.6825611	NA	NA	NA	NA	NA	NA	NA	1.195207962	1.80744983705	NA	2.460657	NA	NA	17.4333333333333	NA	16.6666666666667	20
"5"	5	1	"Bouteloua curtipendula"	"Bouteloua"	"curtipendula"	"N"	5	NA	NA	NA	NA	38.6825611	NA	NA	NA	NA	NA	NA	NA	0.9379883885	1.85343861898	NA	1.95336716666667	NA	NA	16.16	NA	16.6666666666667	20
"6"	6	1	"Andropogon gerardii"	"Andropogon"	"gerardii"	"N"	6	NA	NA	NA	NA	45.85	NA	NA	NA	NA	NA	NA	NA	0.625	1.15568018921053	NA	1.44	NA	NA	20.185755	NA	16.6666666666667	20
"7"	7	2	"Microstegium vimineum"	"Microstegium"	"vimineum"	"I"	1	NA	NA	62	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	8
"8"	8	2	"Verbesina alternifolia"	"Verbesina"	"alternifolia"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35677419354839	2.3584	NA	NA	NA	NA	20.0099358273077	NA	14.2857142857143	16.6666666666667
"9"	9	2	"Platanus occidentalis"	"Platanus"	"occidentalis"	"N"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.239729796	1.74103233333333	NA	NA	NA	0.1092	21.08436685275	NA	14.2857142857143	16.6666666666667
"10"	10	2	"Pilea pumila"	"Pilea"	"pumila"	"N"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	NA	NA	28.5989624895	NA	14.2857142857143	16.6666666666667
"11"	11	2	"Lirodendron tulipifera"	"Lirodendron"	"tulipifera"	"N"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2857142857143	16.6666666666667
"12"	12	2	"Agrostis perrenans"	"Agrostis"	"perrenans"	"N"	6	NA	NA	NA	NA	15.6967900701429	NA	NA	NA	NA	NA	NA	NA	1.43179934308333	2.2670079737686	NA	0.912156657894737	NA	NA	28.8458028426071	31.2	14.2857142857143	16.6666666666667
"13"	13	2	"Acer negundo"	"Acer"	"negundo"	"N"	7	NA	NA	NA	NA	14.171024791	66.1909090909091	NA	NA	NA	NA	NA	NA	1.486565731	2.6770617994875	NA	1.67	NA	0.358607	19.577912848381	22.5	14.2857142857143	16.6666666666667
"14"	14	3	"Fallopia japonica"	"Fallopia"	"japonica"	"I"	1	NA	NA	NA	0	16.8	NA	NA	NA	66.58	24.63	NA	24.83	1.21725562666667	2.58	0.91	NA	1.42	0.65	21.4929211026667	NA	20	0
"15"	15	3	"Populus deltoides"	"Populus"	"deltoides"	"N"	2	NA	NA	NA	NA	21.2	65.5	NA	NA	NA	NA	NA	NA	2.140442034	2.23116279069767	0.56345	1.86553333333333	NA	0.0681	12.5393271177778	14.7	20	25
"16"	16	3	"Carya ovata"	"Carya"	"ovata"	"N"	3	NA	NA	NA	NA	25.2	38.5	NA	NA	NA	20	NA	13.48	1.66842261875	1.79714285714286	1.37	1.67	NA	NA	13.76881937275	NA	20	25
"17"	17	3	"Acer saccharum"	"Acer"	"saccharum"	"N"	4	NA	NA	NA	NA	27.85	73.34	NA	NA	NA	NA	NA	NA	1.1063832446	1.8592100043949	NA	0.964176073619632	NA	0.385556	24.7436015890612	22.5	20	25
"18"	18	3	"Acer saccharinum"	"Acer"	"saccharinum"	"N"	5	NA	NA	NA	NA	25.4138241639524	66.1909090909091	NA	NA	NA	NA	NA	NA	1.13564357832955	2.366667	NA	0.884244024793467	NA	0.358607	23.8682488435714	22.5	20	25
"19"	19	4	"Typha x glauca"	"Typha"	"glauca"	"I"	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.6570788309875	NA	NA	1.8374014125	NA	10.05144368446	NA	100	0
"20"	20	4	"Schoenoplectus americanus"	"Schoenoplectus"	"americanus"	"N"	2	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2
"21"	21	4	"Schoenoplectus acutus"	"Schoenoplectus"	"acutus"	"N"	3	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2
"22"	22	4	"Juncus nodosus"	"Juncus"	"nodosus"	"N"	4	NA	NA	0	32	42.613447229	NA	NA	NA	NA	NA	NA	NA	2.3357836954	1.84275933945526	0.758215	NA	1.65512707876231	NA	13.0812099304583	NA	0	32
"23"	23	4	"Juncus articulatus"	"Juncus"	"articulatus"	"N"	5	NA	NA	0	13	42.613447229	NA	NA	NA	NA	NA	NA	NA	2.3357836954	1.84275933945526	0.758215	NA	1.56997512121792	NA	15.824202256381	NA	0	13
"24"	24	4	"Eleocharis smallii"	"Eleocharis"	"smallii"	"N"	6	NA	NA	0	51	NA	NA	NA	NA	NA	NA	NA	NA	1.6492	1.708	NA	NA	NA	NA	10.364842454	NA	0	51
"25"	25	4	"Eleocharis intermedia"	"Eleocharis"	"intermedia"	"N"	7	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	1.3664	1.55425	NA	NA	NA	NA	24.1760645989615	NA	0	1
"26"	26	4	"Carex hystericina"	"Carex"	"hystericina"	"N"	8	NA	NA	0	0	25.46776652175	NA	NA	NA	NA	NA	NA	NA	1.30280296814706	1.91586635699883	0.813938888888889	NA	1.99926137166667	NA	18.8201307335318	20.3	0	0
"27"	27	5	"Rosa multiflora"	"Rosa"	"multiflora"	"I"	1	NA	NA	9	0	25.0231523	25.1	NA	NA	NA	NA	NA	NA	0.886721401857143	2.15255318531538	1.83	NA	NA	NA	18.7349	20.3666666666667	9	0
"28"	28	5	"Lonicera morrowii"	"Lonicera"	"morrowii"	"I"	2	NA	NA	9	0	26.9	38.1	NA	NA	NA	NA	NA	NA	1.37402517933333	2.2252416666625	1.24	NA	NA	NA	19.0119439878851	44.8	9	0
"29"	29	5	"Ampelopsis berevipedunculata"	"Ampelopsis"	"berevipedunculata"	"I"	3	NA	NA	9	0	NA	35.6	NA	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA	NA	NA	NA	9	0
"30"	30	5	"Acer platanoides"	"Acer"	"platanoides"	"I"	4	NA	NA	9	0	25.4138241639524	23.1	NA	NA	NA	NA	NA	NA	0.8294829146	1.98897058822941	2.07	0.884244024793467	NA	0.358607	19.262441040451	18.8	9	0
"31"	31	5	"Vitis novae-angliae"	"Vitis"	"novae-angliae"	"N"	5	NA	NA	NA	NA	15.8111809	33.8	NA	NA	NA	NA	NA	NA	0.7394791408	2.46306315789474	1.43	NA	NA	NA	27.5062029671923	NA	12.5	25
"32"	32	5	"Viburnum acerifolium"	"Viburnum"	"acerifolium"	"N"	6	NA	NA	NA	NA	19.4348796	44.7	NA	NA	NA	NA	NA	NA	1.2896826625	2.05	1.1	NA	NA	NA	16.5837385876056	18.3888888888889	12.5	25
"33"	33	5	"Cornus florida"	"Cornus"	"florida"	"N"	7	NA	NA	NA	NA	35.7	64.1	NA	NA	NA	NA	NA	NA	1.004527584375	1.84843763636364	0.73	NA	NA	1.078625	19.6089664824444	21.3	12.5	25
"34"	34	5	"Acer rubrum"	"Acer"	"rubrum"	"N"	8	NA	NA	NA	NA	25.6535413846154	47.8	NA	NA	NA	NA	NA	NA	1.03781748109524	1.80438596874948	1.1	0.489538883825714	NA	0.35408	19.9110935035614	22.5	12.5	25
"35"	35	6	"Melinis minutiflora"	"Melinis"	"minutiflora"	"I"	1	NA	NA	100	0	35.4	46.4	77.2	NA	NA	NA	NA	NA	NA	1.22	0.93	0.65	NA	NA	14.275796593	NA	100	0
"36"	36	6	"Wikstroemia oahuensis"	"Wikstroemia"	"oahuensis"	"N"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71	NA	NA	NA	NA	8.467400508	NA	14.2857142857143	16.6666666666667
"37"	37	6	"Styphelia tameiameiae"	"Styphelia"	"tameiameiae"	"N"	3	NA	NA	NA	43	59.4	79.2	86.3	NA	NA	NA	NA	NA	1.685855263	0.86	0.63	0.6	NA	NA	4.864	NA	14.2857142857143	43
