"min"	"max"	"mean"	"se"	"n"
"1 x"	16.4	39.44080905	23.5222597028571	1.10334594664669	28
"1 y"	-6.427031985	5.252216635	1.39940050975	0.359150903252962	28
"2 x"	29.41	122	54.5983766236364	7.5691609383661	11
"2 y"	-4.850194231	5.252216635	1.535024655	0.739066557390497	11
"3 x"	0.73	5.27058117	1.96209576436842	0.105892315576573	57
"3 y"	-26.84413937	5.252216635	0.800399264298246	0.549579662053571	57
"4 x"	0.05	1.730856975	1.06781263181818	0.108608620892613	22
"4 y"	-4.850194231	5.252216635	1.391110502	0.413661567751136	22
"5 x"	16.4	39.44080905	22.9765266470833	1.02077893541334	24
"5 y"	-0.870667703	3.083206199	1.01486966370833	0.203151772456904	24
"6 x"	29.41	122	56.4202380955556	9.23297406992538	9
"6 y"	-1.136369112	1.109957042	0.259021566333333	0.293992864196415	9
"7 x"	0.92	5.27058117	2.11647515298113	0.122451920527646	53
"7 y"	-1.82305708	4.223883881	0.698289509037736	0.153369379943021	53
"8 x"	0.05	1.730856975	1.11251118452381	0.117608719864489	21
"8 y"	-1.136369112	1.336554519	0.598589392095238	0.163189175719282	21
"9 x"	16.4	39.44080905	24.4854110971429	1.17089057526968	28
"9 y"	-0.640355905	3.128210296	1.15930765421429	0.126569071774612	28
"10 x"	29.41	122	57.108214286	8.28683047849719	10
"10 y"	0.988042074	5.549272437	1.8590060619	0.434362375696945	10
"11 x"	0.92	5.27058117	2.07176356143103	0.11460667161251	58
"11 y"	-1.713830898	5.549272437	1.34366462113793	0.13644849344787	58
"12 x"	0.05	1.730856975	1.05553061979167	0.10730971633095	24
"12 y"	-1.713830898	5.549272437	1.410735057	0.258542315314216	24
