"obsID"	"nh_I"	"no_I"	"toti_I"	"ammon_I"	"nitrif_I"	"nminz_I"	"soilN_I"	"SOM_I"	"soilcn_I"	"microbialcn_I"	"soilmoi_I"	"pH_I"
"1"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.99	NA	NA
"2"	2	3.23	1.82	5.05	NA	NA	NA	NA	NA	NA	NA	29.83	6.04
"3"	3	NA	NA	NA	0.58	5.09	5.68	0.17	NA	74.8	NA	NA	NA
"4"	4	77.97	6.44	84.41	NA	NA	NA	NA	8.08	NA	NA	80.2	7.52
"5"	5	4.7	4.5	9.2	NA	NA	NA	NA	2.75	NA	NA	20.9	4.5
"6"	6	1.97	NA	NA	0.2635	0.0393	NA	NA	NA	NA	NA	19	NA
"7"	7	10.12	NA	NA	0.3151	0.099	NA	NA	NA	NA	NA	11	NA
"8"	8	15.3	9.2	24.5	NA	NA	NA	0.05	NA	NA	NA	NA	7.5
"9"	9	12.2	8.5	20.7	NA	NA	NA	0.04	NA	NA	NA	NA	7.6
"10"	10	9.7	7.7	17.4	NA	NA	NA	0.04	0.7	NA	NA	NA	NA
"11"	11	2.25	0.3	2.55	1.34	0.49	1.52	0.12	NA	NA	NA	10.24	NA
"12"	12	2.53	5.43	7.96	NA	5.015	NA	0.12	NA	NA	NA	10.24	NA
"13"	13	19.64	29.05	48.29	NA	NA	NA	NA	4.83	NA	NA	21.8	8.14
"14"	14	18.19	24.78	43.33	NA	NA	NA	NA	4.3	NA	NA	18.7	7.92
"15"	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	16	3.2	2.17	5.38	7.8882	9.0907	NA	NA	NA	NA	NA	NA	6.49
"17"	17	4.7	3.41	8.1	11.8163	11.5148	NA	NA	NA	NA	NA	NA	5.49
"18"	18	3.45	3.01	6.46	11.315	9.135	NA	NA	NA	NA	NA	NA	5.76
"19"	19	11.37	1.02	12.39	27.415	9.665	NA	NA	NA	NA	NA	NA	5.09
"20"	20	3.06	0.21	3.26	11.11	1.485	NA	NA	NA	NA	NA	NA	4.96
"21"	21	2.22	1.39	3.61	-0.035	1.272	NA	NA	6.1	NA	NA	NA	5.89
"22"	22	1.72	0.48	2.2	-0.046	1.009	NA	NA	4.45	NA	NA	NA	5.97
"23"	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	26	NA	NA	2.4	NA	0.005	0.012	NA	NA	NA	NA	67	3.7
"27"	27	NA	NA	NA	NA	2.6	3.7	NA	NA	20.65	NA	34.1	NA
"28"	28	1.3	0.32	1.62	NA	NA	NA	NA	NA	NA	NA	19.94	NA
"29"	29	1.3	0.32	1.62	NA	NA	NA	NA	NA	NA	NA	19.94	5.8
"30"	30	4.92	1.55	6.47	NA	NA	NA	NA	2.59	NA	NA	NA	5.75
"31"	31	NA	NA	5.31	0.01	0.05	0.07	NA	NA	13.09	NA	50	NA
"32"	32	NA	NA	0.93	0.01	0.43	0.44	NA	NA	13.02	NA	28	NA
"33"	33	NA	11.7	NA	NA	0.3134	0.3545	NA	NA	13.42	NA	14.79	6.2
"34"	34	NA	NA	NA	NA	NA	0.53	0.14	NA	16.33	NA	NA	NA
"35"	35	NA	NA	NA	NA	NA	0.2357	0.19	NA	17.25	NA	NA	NA
"36"	36	NA	NA	NA	NA	NA	-0.2043	0.24	NA	16.38	NA	NA	NA
"37"	37	NA	NA	NA	NA	NA	0.1943	0.2	NA	19.25	NA	NA	NA
"38"	38	NA	NA	NA	NA	NA	2.0443	0.22	NA	18.98	NA	NA	NA
"39"	39	NA	NA	NA	NA	NA	3.2857	0.32	NA	13.82	NA	NA	NA
"40"	40	NA	NA	NA	NA	NA	1.3943	0.37	NA	15.51	NA	NA	NA
"41"	41	NA	NA	NA	NA	NA	1.9986	0.31	NA	25.66	NA	NA	NA
"42"	42	NA	NA	NA	NA	NA	0.8314	0.39	NA	28.59	NA	NA	NA
"43"	43	3.8	5.6	9.4	NA	NA	NA	NA	3.7	NA	NA	NA	5.4
"44"	44	4.6	3.2	7.8	NA	NA	NA	NA	3.7	NA	NA	NA	5.4
"45"	45	3.04	1.02	4.06	0.2221	1.7986	2.0407	0.36	NA	NA	NA	43.78	6.44
"46"	46	5.95	1.16	7.11	0.2464	4.8243	5.09	0.44	NA	NA	NA	43.02	4.87
"47"	47	3.46	0.79	4.25	0.2271	1.4714	1.7486	0.22	NA	NA	NA	39.44	5.66
"48"	48	3.79	1.41	5.2	0.1263	1.8522	2.0352	0.37	NA	NA	NA	49.75	6.46
"49"	49	4.33	1.17	5.5	0.0303	1.3232	1.414	0.39	NA	NA	NA	45.6	5.09
"50"	50	10.79	9.86	20.65	0.0529	0.0686	0.1214	NA	8.67	NA	NA	NA	4.72
"51"	51	4.73	1.3	6.03	-0.0143	0.4857	0.4714	NA	9.39	NA	NA	NA	5
"52"	52	7.97	11.74	19.71	NA	1.1639	0.7751	NA	4.86	NA	NA	25.58	4.53
"53"	53	3.14	14.5	17.64	NA	0.4485	0.2782	NA	5.54	NA	NA	21.9	5.13
"54"	54	13.42	13.17	26.59	NA	NA	NA	0.09	9.91	NA	NA	NA	5.37
"55"	55	1.73	1.1	2.83	NA	NA	NA	0.04	NA	NA	NA	NA	6.13
"56"	56	2.37	1.18	3.55	NA	NA	NA	0.04	NA	NA	NA	NA	6.28
"57"	57	1.97	1.71	3.68	NA	NA	NA	0.08	NA	NA	NA	NA	5.77
"58"	58	NA	NA	NA	NA	NA	NA	0.64	NA	13.92	NA	47	NA
"59"	59	NA	NA	NA	NA	NA	NA	0.42	NA	17.36	NA	19	NA
