Leaf CN	Litter CN	Leaf PercN	Litter PercN
22.3399436	NA	2.201935025	NA
NA	NA	NA	NA
16.8	NA	2.58	0.91
NA	NA	1.657078831	NA
25.77899215	30.475	2.122255147	1.6
35.4	46.4	1.22	0.93
35.4	46.4	1.22	0.93
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
NA	47.24	2.89	0.05
NA	29.41	3.5275	0.07
NA	80.77	NA	1.04
NA	NA	1.84	NA
NA	NA	1.48	NA
NA	NA	0.92	NA
NA	NA	0.92	NA
NA	NA	0.92	NA
NA	NA	0.92	NA
NA	NA	1.2	NA
22.3399436	156.94	2.201935025	NA
22.3399436	156.94	2.201935025	NA
17.79554405	NA	2.325116986	NA
NA	63.3	1.71	0.69
NA	NA	3.284583333	NA
20.6199718	NA	2.605695331	NA
20.6199718	NA	2.605695331	NA
NA	39.1	2.16	1.3
20.78187095	NA	2.399055556	NA
20.78187095	NA	2.399055556	NA
17	NA	2.7002222	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.51949463	NA	2.48681984	NA
22.3399436	NA	2.528169949	NA
16.4	NA	2.991677739	NA
NA	NA	1.723071429	NA
NA	NA	1.723071429	NA
NA	NA	1.723071429	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	1.723071429	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	1.132125	NA
20.7	60.3	1.9	0.64
20.7	60.3	1.9	0.64
20.7	60.3	1.9	0.64
29.40465575	NA	1.665193373	NA
29.40465575	NA	1.665193373	NA
NA	NA	2.878705683	1.730856975
NA	NA	1.06	NA
22.02230727	34.4	1.96137505	0.571575
17	NA	2.400074067	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
27.9	58.65714286	2.421955128	0.842475
34.06666667	122	1.313961588	0.71615
NA	NA	2.141666667	NA
NA	NA	1.1199375	0.549275
NA	NA	3.188333333	NA
17.79554405	NA	2.63	NA
17.79554405	NA	2.63	NA
NA	NA	1.67	NA
NA	NA	1.67	NA
NA	NA	1.19	0.74
125.9	NA	0.39	NA
89.43	NA	0.6	NA
22.3399436	NA	2.201935025	NA
NA	NA	4.84	NA
NA	NA	4.84	NA
NA	NA	4.84	NA
NA	NA	4.84	NA
NA	NA	4.84	NA
36.84245884	NA	1.043333333	NA
NA	NA	2.22	NA
36.53037643	NA	1.287349292	NA
39.44080905	NA	1.20815	1.270275
36.53037643	NA	1.287349292	0.64
36.53037643	NA	1.287349292	0.64
NA	NA	3.284583333	NA
NA	NA	2.539166667	NA
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
NA	NA	2.878705683	1.730856975
NA	NA	5.27058117	1.730856975
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
22.3399436	NA	2.201935025	NA
17.79554405	NA	0.73	NA
17.79554405	NA	0.73	NA
NA	NA	1.657078831	NA
21.1	NA	3.245	NA
21.1	NA	3.245	NA
21.1	NA	3.245	NA
21.1	NA	3.245	NA
21.1	NA	3.245	NA
21.1	NA	3.245	NA
NA	NA	1.52	1.33
NA	NA	1.52	1.33
NA	NA	1.52	1.33
NA	NA	1.01	1.13
NA	NA	2.878705683	1.730856975
NA	NA	5.27058117	1.730856975
NA	NA	5.27058117	1.730856975
24.77084846	NA	1.679769942	1.270275
