"obsID"	"GenusSpecies"	"Genus"	"Species"	"sppdens_inv"	"sppdens_nat"	"spperc_inv"	"spperc_nat"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"	"invAperc"	"natAperc"	"initials"
"1"	1	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	80	0	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	80	0	"Bt"
"7"	2	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	62	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	8	"Mv"
"14"	3	"Fallopia japonica"	"Fallopia"	"japonica"	NA	NA	NA	0	16.8	NA	NA	NA	66.58	24.63	NA	24.83	1.21725562666667	2.58	0.91	NA	1.42	0.65	21.4929211026667	NA	20	0	"Fj"
"19"	4	"Typha x glauca"	"Typha"	"glauca"	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	3.928734146	1.6570788309875	NA	NA	1.8374014125	NA	10.05144368446	NA	100	0	"Tg"
"27"	5	"multiple"	"multiple"	"multiple"	NA	NA	9	0	25.7789921546508	30.475	NA	NA	NA	NA	NA	NA	1.03007649859682	2.12225514673576	1.6	0.884244024793467	NA	0.358607	19.0030950094454	27.9888888888889	9	0	"mm"
"35"	6	"Melinis minutiflora"	"Melinis"	"minutiflora"	NA	NA	100	0	35.4	46.4	77.2	NA	NA	NA	NA	NA	NA	1.22	0.93	0.65	NA	NA	14.275796593	NA	100	0	"Mm"
"42"	7	"Melinis minutiflora"	"Melinis"	"minutiflora"	NA	NA	100	0	35.4	46.4	77.2	NA	NA	NA	NA	NA	NA	1.22	0.93	0.65	NA	NA	14.275796593	NA	100	0	"Mm"
"49"	8	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	14	1	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	14	1	"Bt"
"51"	9	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	0	3	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	0	3	"Bt"
"53"	10	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	27	5	22.3399435995	NA	NA	NA	NA	NA	NA	NA	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	27	5	"Bt"
"55"	11	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	15.07	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	100	0	"Bt"
"57"	12	"Bromus tectorum"	"Bromus"	"tectorum"	NA	NA	100	0	22.3399435995	NA	NA	NA	NA	NA	NA	15.07	1.084895982	2.20193502495	NA	1.03257266666667	NA	NA	28.3890341946364	NA	100	0	"Bt"
"59"	13	"Ailanthus altissima"	"Ailanthus"	"altissima"	NA	NA	NA	NA	NA	47.24	NA	NA	NA	5.37	NA	10.02	NA	2.89	0.05	NA	NA	NA	14.8232166666667	NA	50	0	"Aa"
"61"	14	"Robinia pseudoacacia"	"Robinia"	"pseudoacacia"	NA	NA	NA	NA	NA	29.41	NA	NA	NA	14.34	NA	21.07	1.9114346348	3.5275	0.07	NA	NA	NA	19.6248693896923	NA	50	0	"Rp"
"63"	15	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	75	0	NA	80.77	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	75	0	"Mv"
"67"	16	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	NA	NA	1.84	NA	NA	NA	70	0	"Mv"
"72"	17	"Microstegium vimineum"	"Microstegium"	"vimineum"	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	1.48	NA	NA	NA	10	0	"Mv"
"78"	18	"Berberis thunbergii"	"Berberis"	"thunbergii"	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	0.92	NA	NA	0.92	NA	12.8658606795962	21.3	20	0	"Bt"
"83"	19	"Berberis thunbergii"	"Berberis"	"thunbergii"	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	0.92	NA	NA	0.92	NA	12.8658606795962	21.3	16.6666666666667	0	"Bt"
"89"	20	"Berberis thunbergii"	"Berberis"	"thunbergii"	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	0.92	NA	NA	0.92	NA	12.8658606795962	21.3	16.6666666666667	0	"Bt"
"95"	21	"multiple"	"multiple"	"multiple"	NA	NA	50	0	NA	NA	NA	NA	NA	NA	NA	NA	2.097027066	0.92	NA	NA	NA	NA	12.8658606795962	21.3	50	0	"mm"
