nh_I	no_I	toti_I	ammon_I	nitrif_I	nminz_I
NA	NA	NA	NA	NA	NA
3.23	1.82	5.05	NA	NA	NA
NA	NA	NA	0.58	5.09	5.68
77.97	6.44	84.41	NA	NA	NA
4.7	4.5	9.2	NA	NA	NA
1.97	NA	NA	0.2635	0.0393	NA
10.12	NA	NA	0.3151	0.099	NA
15.3	9.2	24.5	NA	NA	NA
12.2	8.5	20.7	NA	NA	NA
9.7	7.7	17.4	NA	NA	NA
2.25	0.3	2.55	1.34	0.49	1.52
2.53	5.43	7.96	NA	5.015	NA
19.64	29.05	48.29	NA	NA	NA
18.19	24.78	43.33	NA	NA	NA
NA	NA	NA	NA	NA	NA
3.2	2.17	5.38	7.8882	9.0907	NA
4.7	3.41	8.1	11.8163	11.5148	NA
3.45	3.01	6.46	11.315	9.135	NA
11.37	1.02	12.39	27.415	9.665	NA
3.06	0.21	3.26	11.11	1.485	NA
2.22	1.39	3.61	-0.035	1.272	NA
1.72	0.48	2.2	-0.046	1.009	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	2.4	NA	0.005	0.012
NA	NA	NA	NA	2.6	3.7
1.3	0.32	1.62	NA	NA	NA
1.3	0.32	1.62	NA	NA	NA
4.92	1.55	6.47	NA	NA	NA
NA	NA	5.31	0.01	0.05	0.07
NA	NA	0.93	0.01	0.43	0.44
NA	11.7	NA	NA	0.3134	0.3545
NA	NA	NA	NA	NA	0.53
NA	NA	NA	NA	NA	0.2357
NA	NA	NA	NA	NA	-0.2043
NA	NA	NA	NA	NA	0.1943
NA	NA	NA	NA	NA	2.0443
NA	NA	NA	NA	NA	3.2857
NA	NA	NA	NA	NA	1.3943
NA	NA	NA	NA	NA	1.9986
NA	NA	NA	NA	NA	0.8314
3.8	5.6	9.4	NA	NA	NA
4.6	3.2	7.8	NA	NA	NA
3.04	1.02	4.06	0.2221	1.7986	2.0407
5.95	1.16	7.11	0.2464	4.8243	5.09
3.46	0.79	4.25	0.2271	1.4714	1.7486
3.79	1.41	5.2	0.1263	1.8522	2.0352
4.33	1.17	5.5	0.0303	1.3232	1.414
10.79	9.86	20.65	0.0529	0.0686	0.1214
4.73	1.3	6.03	-0.0143	0.4857	0.4714
7.97	11.74	19.71	NA	1.1639	0.7751
3.14	14.5	17.64	NA	0.4485	0.2782
13.42	13.17	26.59	NA	NA	NA
1.73	1.1	2.83	NA	NA	NA
2.37	1.18	3.55	NA	NA	NA
1.97	1.71	3.68	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
2.46	1.45	3.91	NA	11.83	NA
NA	NA	NA	0.9	NA	NA
NA	NA	NA	NA	NA	NA
7.13	16.9	24.03	NA	0.93	1
NA	7.4	NA	NA	NA	NA
NA	4	NA	NA	NA	NA
NA	3.6	NA	NA	NA	NA
8.63	0.68	9.31	NA	NA	NA
6.52	0.6	7.12	NA	NA	NA
16.36	1.61	17.96	NA	NA	NA
4.8	0.57	5.37	NA	NA	NA
20.64	1.77	22.42	NA	NA	NA
33.48	NA	NA	NA	NA	0.7
NA	NA	NA	NA	NA	-1.98
33.35	NA	NA	NA	NA	2.48
NA	NA	NA	NA	NA	-0.57
NA	NA	NA	0.1442	0.3417	NA
NA	NA	NA	NA	0.0591	0.0888
NA	NA	NA	NA	0.0338	0.1765
NA	NA	NA	NA	NA	5.00E-04
NA	NA	NA	NA	NA	0.89
NA	NA	NA	NA	NA	8.81
NA	NA	NA	NA	NA	5.26
NA	NA	NA	NA	NA	1.53
NA	NA	NA	NA	NA	5.02
NA	NA	NA	NA	NA	NA
NA	3.78	NA	NA	NA	NA
NA	NA	14	NA	NA	0.2395
2.15	3.38	5.53	NA	NA	NA
NA	NA	2.26	NA	NA	NA
NA	NA	1.67	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	20.9	0.131	0.2907	0.4217
6.64	3.28	9.92	NA	NA	NA
4.43	2.46	6.89	NA	NA	NA
2.57	12.81	15.38	NA	NA	0.035
1.97	2.47	4.44	NA	NA	0.0064
3.5	1.29	4.79	-0.01	-0.004	-0.002
1.34	0.5	1.84	-0.002	0.006	0.006
1.39	0.49	1.88	0.004	0.004	0.006
3.74	NA	NA	NA	NA	NA
3.74	NA	NA	NA	NA	NA
3.39	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
12.6	2.8	15.4	NA	0.3	1.2571
2.9	0	2.9	NA	0	0.05
2.4	0	2.4	NA	0	0.1857
1.77	0.01	1.77	0.05	1.00E-04	0.07
1.4	2.5	3.9	NA	NA	NA
2.1	3.2	5.3	NA	NA	NA
NA	NA	NA	NA	NA	NA
0.02	0.02	0.04	NA	NA	NA
