"obsID"	"nh_C"	"no_C"	"toti_C"	"ammon_C"	"nitrif_C"	"nminz_C"	"soilN_C"	"SOM_C"	"soilcn_C"	"microbialcn_C"	"soilmoi_C"	"pH_C"
"1"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.44	NA	NA
"2"	2	3.76	1.33	5.09	NA	NA	NA	NA	NA	NA	NA	29.93	6.06
"3"	3	NA	NA	NA	0.36	4.11	4.48	0.17	NA	69.03	NA	NA	NA
"4"	4	2.59	0.36	2.95	NA	NA	NA	NA	1.98	NA	NA	26.6	8.15
"5"	5	3.5	4.75	8.25	NA	NA	NA	NA	3.5	NA	NA	17.6	4.15
"6"	6	1.27	NA	NA	0.0766	0.0166	NA	NA	NA	NA	NA	25	NA
"7"	7	7.47	NA	NA	0.164	0.0975	NA	NA	NA	NA	NA	13	NA
"8"	8	17	9.8	26.8	NA	NA	NA	0.04	NA	NA	NA	NA	7.6
"9"	9	9.5	8.3	17.8	NA	NA	NA	0.04	NA	NA	NA	NA	7.6
"10"	10	9.5	8.3	17.8	NA	NA	NA	0.04	0.9	NA	NA	NA	NA
"11"	11	1.65	0.54	2.19	0.65	0.34	0.73	0.09	NA	NA	NA	10.4	NA
"12"	12	2.16	1.95	4.1	NA	3.42	NA	0.08	NA	NA	NA	8.62	NA
"13"	13	22.42	27.67	50.61	NA	NA	NA	NA	5.2	NA	NA	24.73	8.09
"14"	14	21.5	18.03	40.48	NA	NA	NA	NA	4.33	NA	NA	23	7.83
"15"	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	16	6.46	0.09	6.55	14.5656	5.1789	NA	NA	NA	NA	NA	NA	4.82
"17"	17	4.72	0.29	5.01	13.0727	7.803	NA	NA	NA	NA	NA	NA	4.43
"18"	18	6.43	0.11	6.53	14.355	3.905	NA	NA	NA	NA	NA	NA	4.82
"19"	19	4.77	0.29	5.06	12.945	3.01	NA	NA	NA	NA	NA	NA	4.43
"20"	20	1.96	0.1	2.06	8.255	0.655	NA	NA	NA	NA	NA	NA	4.55
"21"	21	0.54	4.08	4.62	0.045	0.179	NA	NA	2.73	NA	NA	NA	5.12
"22"	22	0.98	0.64	1.62	-0.047	0.352	NA	NA	1.65	NA	NA	NA	4.83
"23"	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	26	NA	NA	2.1	NA	0.021	0.008	NA	NA	NA	NA	71	3.5
"27"	27	NA	NA	NA	NA	1.09	1.21	NA	NA	21.52	NA	32.9	NA
"28"	28	1.17	5.74	6.91	NA	NA	NA	NA	NA	NA	NA	18.77	NA
"29"	29	0.96	0.63	1.59	NA	NA	NA	NA	NA	NA	NA	19.53	5.9
"30"	30	0.72	0.68	1.4	NA	NA	NA	NA	0.33	NA	NA	NA	5.63
"31"	31	NA	NA	4.55	0.05	0.21	0.26	NA	NA	14.03	NA	27	NA
"32"	32	NA	NA	1.12	0.24	0.35	0.6	NA	NA	14.16	NA	29	NA
"33"	33	NA	3.32	NA	NA	0.1081	0.1097	NA	NA	14	NA	9.69	6.7
"34"	34	NA	NA	NA	NA	NA	1.7771	0.13	NA	16.96	NA	NA	NA
"35"	35	NA	NA	NA	NA	NA	1.3071	0.22	NA	17.5	NA	NA	NA
"36"	36	NA	NA	NA	NA	NA	0.3157	0.24	NA	16.72	NA	NA	NA
"37"	37	NA	NA	NA	NA	NA	0.89	0.26	NA	18.31	NA	NA	NA
"38"	38	NA	NA	NA	NA	NA	0.6529	0.24	NA	19.83	NA	NA	NA
"39"	39	NA	NA	NA	NA	NA	4.0686	0.32	NA	14.62	NA	NA	NA
"40"	40	NA	NA	NA	NA	NA	0.96	0.36	NA	15.26	NA	NA	NA
"41"	41	NA	NA	NA	NA	NA	2.49	0.34	NA	26.52	NA	NA	NA
"42"	42	NA	NA	NA	NA	NA	0.9471	0.4	NA	30.15	NA	NA	NA
"43"	43	2.5	3.5	6	NA	NA	NA	NA	1.7	NA	NA	NA	7.1
