nh_C	no_C	toti_C	ammon_C	nitrif_C	nminz_C
NA	NA	NA	NA	NA	NA
3.76	1.33	5.09	NA	NA	NA
NA	NA	NA	0.36	4.11	4.48
2.59	0.36	2.95	NA	NA	NA
3.5	4.75	8.25	NA	NA	NA
1.27	NA	NA	0.0766	0.0166	NA
7.47	NA	NA	0.164	0.0975	NA
17	9.8	26.8	NA	NA	NA
9.5	8.3	17.8	NA	NA	NA
9.5	8.3	17.8	NA	NA	NA
1.65	0.54	2.19	0.65	0.34	0.73
2.16	1.95	4.1	NA	3.42	NA
22.42	27.67	50.61	NA	NA	NA
21.5	18.03	40.48	NA	NA	NA
NA	NA	NA	NA	NA	NA
6.46	0.09	6.55	14.5656	5.1789	NA
4.72	0.29	5.01	13.0727	7.803	NA
6.43	0.11	6.53	14.355	3.905	NA
4.77	0.29	5.06	12.945	3.01	NA
1.96	0.1	2.06	8.255	0.655	NA
0.54	4.08	4.62	0.045	0.179	NA
0.98	0.64	1.62	-0.047	0.352	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	2.1	NA	0.021	0.008
NA	NA	NA	NA	1.09	1.21
1.17	5.74	6.91	NA	NA	NA
0.96	0.63	1.59	NA	NA	NA
0.72	0.68	1.4	NA	NA	NA
NA	NA	4.55	0.05	0.21	0.26
NA	NA	1.12	0.24	0.35	0.6
NA	3.32	NA	NA	0.1081	0.1097
NA	NA	NA	NA	NA	1.7771
NA	NA	NA	NA	NA	1.3071
NA	NA	NA	NA	NA	0.3157
NA	NA	NA	NA	NA	0.89
NA	NA	NA	NA	NA	0.6529
NA	NA	NA	NA	NA	4.0686
NA	NA	NA	NA	NA	0.96
NA	NA	NA	NA	NA	2.49
NA	NA	NA	NA	NA	0.9471
2.5	3.5	6	NA	NA	NA
2.5	3.5	6	NA	NA	NA
12.05	0.08	12.13	4.4086	0.8929	5.2971
7.05	0.15	7.2	1.495	1.9686	3.4414
8.23	0.01	8.24	1.4457	0.0286	1.4957
12	0.08	12.08	4.3754	0.8932	5.2884
7.12	0.16	7.27	1.4538	1.9332	3.4092
5.49	4.95	10.44	0.1843	0.0843	0.2686
5.49	4.95	10.44	0.1843	0.0843	0.2686
10.29	13.36	23.65	NA	0.6381	0.2494
3.64	4.93	8.58	NA	0.1816	0.152
17.45	17.92	35.37	NA	NA	NA
1.11	1.46	2.57	NA	NA	NA
1.48	0.74	2.22	NA	NA	NA
1.4	0.54	1.94	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
1.6	1.8	3.4	NA	0.155	NA
NA	NA	NA	0.67	NA	NA
NA	NA	NA	NA	NA	NA
4.1	6.3	10.4	NA	0.4	0.5
NA	7.2	NA	NA	NA	NA
NA	3	NA	NA	NA	NA
NA	4	NA	NA	NA	NA
2.19	0.56	2.75	NA	NA	NA
2.19	0.56	2.75	NA	NA	NA
2.19	0.56	2.75	NA	NA	NA
2.19	0.56	2.75	NA	NA	NA
2.19	0.56	2.75	NA	NA	NA
30.97	NA	NA	NA	NA	1.52
NA	NA	NA	NA	NA	0.53
30.97	NA	NA	NA	NA	1.52
NA	NA	NA	NA	NA	0.53
NA	NA	NA	0.133	0.3142	NA
NA	NA	NA	NA	0.0745	0.127
NA	NA	NA	NA	0.1068	0.2145
NA	NA	NA	NA	NA	0.0053
NA	NA	NA	NA	NA	0.89
NA	NA	NA	NA	NA	4.62
NA	NA	NA	NA	NA	5.1
NA	NA	NA	NA	NA	0.54
NA	NA	NA	NA	NA	2.68
NA	NA	NA	NA	NA	NA
NA	1.37	NA	NA	NA	NA
NA	NA	33	NA	NA	0.2983
2.59	3.98	6.57	NA	NA	NA
NA	NA	9.28	NA	NA	NA
NA	NA	2.97	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	19.21	0.1113	0.208	0.3197
4.57	1.47	6.04	NA	NA	NA
4.58	1.8	6.38	NA	NA	NA
2.11	6.74	8.85	NA	NA	0.018
1.73	2	3.73	NA	NA	0.0095
1.29	0.36	1.65	-0.008	-0.006	-0.004
1.41	0.36	1.77	-0.002	0.008	0.006
1.32	0.33	1.65	1.00E-04	0.006	0.006
5.44	NA	NA	NA	NA	NA
2.45	NA	NA	NA	NA	NA
1.72	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
1.9	0.2	2.1	NA	0.0286	0.2
2.2	0	2.2	NA	0	-0.1357
0.6	0	0.6	NA	0	-0.0214
1.38	0	1.38	0.01	1.00E-04	0.01
1.6	2.8	4.4	NA	NA	NA
1	3	4	NA	NA	NA
NA	NA	NA	NA	NA	NA
0	0.05	0.06	NA	NA	NA
