"obsID"	"nh_logRR"	"no_logRR"	"toti_logRR"	"ammon_logRR"	"nitrif_logRR"	"nminz_logRR"	"soilN_logRR"	"SOM_logRR"	"soilcn_logRR"	"microbialcn_logRR"	"soilmoi_logRR"	"pH_logRR"
"1"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.936251325077351	NA	NA
"2"	2	0.885280394607684	2.09986227032866	0.995151665482694	NA	NA	NA	NA	NA	NA	NA	0.999015339838545	0.998165193898401
"3"	3	NA	NA	NA	1.42546167779791	1.10736513477773	1.07422502873198	1	NA	1.01895758917239	NA	NA	NA
"4"	4	4.57761580974127	-1.82305708001199	4.10026315233218	NA	NA	NA	NA	3.05870520223367	NA	NA	1.33637371647677	0.961653430961684
"5"	5	1.23531948791136	0.965300254774772	1.0516489441401	NA	NA	NA	NA	0.807495860843862	NA	NA	1.0599220065966	1.05689592323044
"6"	6	2.83675983336409	NA	NA	2.32035190367725	1.98242014163919	NA	NA	NA	NA	NA	0.914741400217575	NA
"7"	7	1.15098683165642	NA	NA	1.61417254251057	1.01379257150694	NA	NA	NA	NA	NA	0.934870415988059	NA
"8"	8	0.962812360785021	0.972318879597905	0.972713563294453	NA	NA	NA	0.930676558073393	NA	NA	NA	NA	0.993469300497287
"9"	9	1.11111138648822	1.01125131087771	1.05242266040769	NA	NA	NA	1	NA	NA	NA	NA	1
"10"	10	1.00925428099358	0.964543418590966	0.992106049161027	NA	NA	NA	1	3.38528092532393	NA	NA	NA	NA
"11"	11	1.619349508233	1.95391088389581	1.19414659473517	1.64511227876752	1.35558535662136	1.14724700718546	0.880528002203154	NA	NA	NA	0.993379388463695	NA
"12"	12	1.20531021042099	2.53349014497587	1.47019713045364	NA	1.20689606349287	NA	0.839466084758597	NA	NA	NA	1.07994880803963	NA
"13"	13	0.957431801400426	1.01465800508368	0.988042074058447	NA	NA	NA	NA	0.955228962031723	NA	NA	0.960690012386715	1.00294717510215
"14"	14	0.945509107522519	1.1099570423524	1.0183844204599	NA	NA	NA	NA	0.995256090821085	NA	NA	0.933991046445839	1.00555340331424
"15"	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	16	0.623462977726316	-0.321737818648699	0.895301763919255	0.796919995962402	1.26897255101953	NA	NA	NA	NA	NA	NA	1.18914899169264
"17"	17	0.99726365072646	-0.990982877501198	1.29813667554553	0.964800683206641	1.1616056388231	NA	NA	NA	NA	NA	NA	1.14413378891147
"18"	18	0.665443941112762	-0.499231007508882	0.994256243011475	0.919593954559131	1.45562000462325	NA	NA	NA	NA	NA	NA	1.11327981947461
"19"	19	1.55597917064722	-0.0159972837309135	1.55232621468735	1.26912562626159	1.7029079847315	NA	NA	NA	NA	NA	NA	1.09330709843847
"20"	20	1.66197206520691	0.677780705266081	1.63514240023001	1.12002160005372	1.79867671932489	NA	NA	NA	NA	NA	NA	1.05694472774096
"21"	21	-1.29426344550678	0.234197036090342	0.838808294404179	0.135535188696447	4.85026751228553	NA	NA	1.80054353654311	NA	NA	NA	1.08578586033385
"22"	22	-26.8441393671563	1.64461211349705	1.63435867147618	9.99550307267312	2.28950772905201	NA	NA	2.98118563797628	NA	NA	NA	1.1345530907875
"23"	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	26	NA	NA	1.17997664300512	NA	0.410628646261988	1.00122217031457	NA	NA	NA	NA	0.986396525349542	1.04435783348669
"27"	27	NA	NA	NA	NA	1.7331700017266	1.32555106769142	NA	NA	0.986553389365159	NA	1.0102547608147	NA
"28"	28	1.67107006333686	-0.65205200582177	0.249577717008768	NA	NA	NA	NA	NA	NA	NA	1.02062160825308	NA
"29"	29	-6.42703198486077	2.46611869180625	1.04030787554475	NA	NA	NA	NA	NA	NA	NA	1.00699069884995	0.990369074780785
"30"	30	-4.85019423104995	-1.13636911220516	5.54927243704449	NA	NA	NA	NA	-0.85838365492125	NA	NA	NA	1.01220432696172
"31"	31	NA	NA	1.10194827135998	0.598781563131367	0.278616768638615	0.948593815755431	NA	NA	0.973743234330491	NA	1.1869589316691	NA
"32"	32	NA	NA	-0.640355904934783	0.219705298049198	1.18822628771855	0.964149613487783	NA	NA	0.968331654220244	NA	0.989578783218636	NA
"33"	33	NA	2.04971752237705	NA	NA	2.56534039692027	1.06759197034273	NA	NA	0.983967306205549	NA	1.18619078361392	0.959225105169112
"34"	34	NA	NA	NA	NA	NA	0.805068769266806	0.963676494662961	NA	0.986628178338831	NA	NA	NA
"35"	35	NA	NA	NA	NA	NA	0.80244340941938	1.09682371640948	NA	0.994972841512289	NA	NA	NA
"36"	36	NA	NA	NA	NA	NA	0.856017990575979	1	NA	0.992705926177316	NA	NA	NA
"37"	37	NA	NA	NA	NA	NA	0.853562378388963	1.19476608785535	NA	1.01721912587611	NA	NA	NA
"38"	38	NA	NA	NA	NA	NA	1.25135431334749	1.0609700650166	NA	0.985334022209205	NA	NA	NA
"39"	39	NA	NA	NA	NA	NA	0.939708647988775	1	NA	0.979021086996695	NA	NA	NA
"40"	40	NA	NA	NA	NA	NA	1.07625966579078	0.973181675983558	NA	1.00596277061536	NA	NA	NA
"41"	41	NA	NA	NA	NA	NA	0.944605970729061	1.08562522513336	NA	0.989943007863399	NA	NA	NA
"42"	42	NA	NA	NA	NA	NA	0.978138287022245	1.02763075856121	NA	0.984402515413203	NA	NA	NA
"43"	43	1.45696231588174	1.37517362906267	1.25056388860126	NA	NA	NA	NA	2.46562978324516	NA	NA	NA	0.860366022753295
"44"	44	1.66547172246706	0.928468384727786	1.14642828402661	NA	NA	NA	NA	1.65935773501528	NA	NA	NA	0.989236451560358
"45"	45	0.446696919254168	-0.00784036216273869	0.561442975971327	0.140458566384124	1.60814205190434	0.763461067337086	6.77384745332669	NA	NA	NA	0.85297595846807	1.2914477646552
"46"	46	0.913141833835158	-0.078234379638988	0.993628031453092	0.275764067338319	1.61733140919518	1.1228828113962	0.803581999290938	NA	NA	NA	0.937930631415456	1.08707571200527
"47"	47	0.588896871133663	0.0511864543547793	0.686068632993198	0.265216709304763	26.6709646136229	1.0366769715298	-152.168581625373	NA	NA	NA	0.851612502368621	1.25040102652858
