Leaf CN	Litter CN	Leaf PercN	Litter PercN
0.11471678	NA	0.243921088	NA
NA	NA	-0.06694679	NA
-0.029256514	-0.096910013	0.021212065	0.070602637
NA	NA	-0.015139745	NA
-0.103356119	-0.136389772	-0.107524599	0.012179115
NA	NA	0.115721525	NA
NA	NA	0.115721525	NA
0.009405096	NA	0.099988922	NA
NA	NA	-0.257249935	NA
NA	NA	-0.195680739	NA
0.270256639	NA	0.461409742	NA
0.843904023	NA	0.840958071	NA
NA	0.026335023	0.007846958	0
NA	-0.108267291	0.06349147	0.079181246
-0.124938737	NA	-0.124938737	0.266580159
-0.096910013	-0.096910013	0.14758643	NA
-0.079181246	-0.079181246	-0.039410943	NA
-0.096910013	-0.096910013	-0.052376607	NA
-0.079181246	-0.079181246	-0.038043596	NA
-0.079181246	-0.079181246	-0.037787692	NA
NA	NA	-0.169751081	NA
NA	NA	0.209949526	NA
NA	0.328318198	0.022222262	NA
-0.079966802	0.196896522	0.040767598	NA
NA	NA	0.083384401	NA
NA	-0.022674367	0.090266203	-0.013542573
NA	NA	0.126652214	NA
NA	NA	-0.188302418	NA
NA	NA	NA	NA
NA	0.377995449	0.634491293	0.761760834
0.023510276	-0.06694679	0.016279868	NA
0.023510276	-0.06694679	0.016279868	NA
NA	NA	NA	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
NA	NA	0.091523502	NA
-0.108441276	NA	0.064597906	NA
-0.151906381	NA	0.107699939	NA
-0.057991947	NA	-0.003060191	-0.057991947
-0.057991947	NA	-0.003060191	-0.057991947
-0.057991947	NA	-0.003060191	-0.057991947
-0.057991947	NA	-0.057991947	-0.057991947
-0.057991947	NA	-0.057991947	-0.057991947
-0.051152522	NA	-0.00342344	NA
-0.051152522	NA	-0.051152522	NA
-0.045757491	NA	-0.045757491	NA
-0.096910013	-0.096910013	-0.096910013	NA
NA	NA	0.272361898	NA
NA	NA	0.24921875	NA
NA	NA	0.24921875	NA
NA	NA	0.24921875	NA
NA	NA	0.538876887	NA
NA	NA	0.538876887	NA
NA	NA	NA	NA
NA	NA	-0.019045409	NA
0.118502559	NA	0.363016615	NA
NA	NA	0.119861708	NA
NA	NA	-0.051152522	NA
NA	NA	-0.051152522	NA
NA	NA	-0.051152522	NA
NA	NA	-0.164513487	NA
NA	NA	-0.286399338	NA
NA	NA	0.263050762	NA
NA	NA	-0.259344904	NA
NA	NA	0.417900653	NA
NA	NA	-0.127818957	NA
NA	NA	-0.127818957	NA
NA	NA	-0.325058234	NA
NA	NA	-0.325058234	NA
NA	NA	-0.179725544	0
0.112701479	NA	-0.075450463	NA
0.078942884	NA	-0.05380203	NA
-0.242243654	NA	-0.1941097	NA
-0.06694679	NA	0.111017579	NA
NA	NA	0.118856621	NA
-0.057991947	NA	0.059133539	NA
-0.06694679	NA	0.121753694	NA
-0.096910013	NA	0.09991101	NA
NA	NA	0.361294504	NA
NA	NA	0.132055556	NA
0.703799709	NA	0.077901277	NA
NA	NA	-0.019223661	NA
0.815336973	NA	0.456794743	NA
0.815336973	NA	0.456794743	NA
NA	NA	0.189314015	NA
NA	NA	0.226328163	NA
NA	NA	0.036302443	NA
NA	NA	-0.009050421	NA
NA	NA	0.700431657	NA
NA	NA	1.090235618	NA
-0.061511564	NA	-0.002320932	NA
-0.061511564	NA	-0.002320932	NA
-0.061511564	NA	-0.002320932	NA
NA	NA	-0.485301626	NA
NA	NA	-0.165576011	NA
NA	NA	0.047607337	NA
-0.116626627	NA	NA	NA
-0.17250886	NA	0.046592914	NA
-0.124732861	NA	0.254148448	NA
-0.230448921	NA	0.410670726	NA
-0.009366301	NA	0.071457321	NA
-0.01616166	NA	0.22884949	NA
NA	NA	0.217882562	0.227243782
NA	NA	0.217882562	0.227243782
NA	NA	0.217882562	0.227243782
NA	NA	-0.090589262	-0.095750347
NA	NA	0.284453705	NA
NA	NA	0.649741748	NA
NA	NA	0.649741748	NA
NA	NA	0.230111783	NA
