nh_logRR	no_logRR	toti_logRR	ammon_logRR	nitrif_logRR	nminz_logRR
NA	NA	NA	NA	NA	NA
0.885280395	2.09986227	0.995151665	NA	NA	NA
NA	NA	NA	1.425461678	1.107365135	1.074225029
4.57761581	-1.82305708	4.100263152	NA	NA	NA
1.235319488	0.965300255	1.051648944	NA	NA	NA
2.836759833	NA	NA	2.320351904	1.982420142	NA
1.150986832	NA	NA	1.614172543	1.013792572	NA
0.962812361	0.97231888	0.972713563	NA	NA	NA
1.111111386	1.011251311	1.05242266	NA	NA	NA
1.009254281	0.964543419	0.992106049	NA	NA	NA
1.619349508	1.953910884	1.194146595	1.645112279	1.355585357	1.147247007
1.20531021	2.533490145	1.47019713	NA	1.206896063	NA
0.957431801	1.014658005	0.988042074	NA	NA	NA
0.945509108	1.109957042	1.01838442	NA	NA	NA
NA	NA	NA	NA	NA	NA
0.623462978	-0.321737819	0.895301764	0.796919996	1.268972551	NA
0.997263651	-0.990982878	1.298136676	0.964800683	1.161605639	NA
0.665443941	-0.499231008	0.994256243	0.919593955	1.455620005	NA
1.555979171	-0.015997284	1.552326215	1.269125626	1.702907985	NA
1.661972065	0.677780705	1.6351424	1.1200216	1.798676719	NA
-1.294263446	0.234197036	0.838808294	0.135535189	4.850267512	NA
-26.84413937	1.644612113	1.634358671	9.995503073	2.289507729	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	1.179976643	NA	0.410628646	1.00122217
NA	NA	NA	NA	1.733170002	1.325551068
1.671070063	-0.652052006	0.249577717	NA	NA	NA
-6.427031985	2.466118692	1.040307876	NA	NA	NA
-4.850194231	-1.136369112	5.549272437	NA	NA	NA
NA	NA	1.101948271	0.598781563	0.278616769	0.948593816
NA	NA	-0.640355905	0.219705298	1.188226288	0.964149613
NA	2.049717522	NA	NA	2.565340397	1.06759197
NA	NA	NA	NA	NA	0.805068769
NA	NA	NA	NA	NA	0.802443409
NA	NA	NA	NA	NA	0.856017991
NA	NA	NA	NA	NA	0.853562378
NA	NA	NA	NA	NA	1.251354313
NA	NA	NA	NA	NA	0.939708648
NA	NA	NA	NA	NA	1.076259666
NA	NA	NA	NA	NA	0.944605971
NA	NA	NA	NA	NA	0.978138287
1.456962316	1.375173629	1.250563889	NA	NA	NA
1.665471722	0.928468385	1.146428284	NA	NA	NA
0.446696919	-0.007840362	0.561442976	0.140458566	1.608142052	0.763461067
0.913141834	-0.07823438	0.993628031	0.275764067	1.617331409	1.122882811
0.588896871	0.051186454	0.686068633	0.265216709	26.67096461	1.036676972
0.53618353	-0.136035874	0.66169968	0.094538095	1.637259813	0.763322282
0.74663089	-0.085673544	0.859353591	0.081231773	0.784245898	0.798141237
1.396782144	1.430851535	1.290781793	0.457629777	0.832227832	0.960643726
0.912501861	0.164040454	0.765992864	0.154643394	4.62583055	1.051395834
0.890403627	0.95013498	0.942391377	NA	1.558109011	1.128652241
0.885632548	1.676225974	1.335313932	NA	2.179098887	1.034601116
0.90816288	0.893283193	0.919983264	NA	NA	NA
5.252216635	0.251852546	1.102097903	NA	NA	NA
2.20101357	-0.549689934	1.588634698	NA	NA	NA
2.015124783	-0.870667703	1.96610291	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
1.915222126	0.63214016	1.114205547	NA	17.09689585	NA
NA	NA	NA	1.232549251	NA	NA
NA	NA	NA	NA	NA	NA
1.392154053	1.536124629	1.357628818	NA	1.938741976	1.107655212
NA	1.013879356	NA	NA	NA	NA
NA	1.261859507	NA	NA	NA	NA
NA	0.923998453	NA	NA	NA	NA
2.749381631	0.665143461	2.205503243	NA	NA	NA
2.391721755	0.881009537	1.940397347	NA	NA	NA
3.565293822	-0.821350445	2.855026157	NA	NA	NA
2.001036904	0.969473935	1.661552386	NA	NA	NA
3.86174892	-0.984755663	3.074288864	NA	NA	NA
1.022699919	NA	NA	NA	NA	0.866253795
NA	NA	NA	NA	NA	0
1.021566667	NA	NA	NA	NA	1.128564789
NA	NA	NA	NA	NA	0.700553928
NA	NA	NA	1.057075165	1.074216844	NA
NA	NA	NA	NA	0.814589474	0.989087513
NA	NA	NA	NA	0.365162987	0.989696533
NA	NA	NA	NA	NA	0.99852869
NA	NA	NA	NA	NA	1
NA	NA	NA	NA	NA	1.216504621
NA	NA	NA	NA	NA	1.009384774
NA	NA	NA	NA	NA	1.196935913
NA	NA	NA	NA	NA	1.199615138
NA	NA	NA	NA	NA	NA
NA	4.223883881	NA	NA	NA	NA
NA	NA	0.754769519	NA	NA	0.984756552
0.804351923	0.881699659	0.908459628	NA	NA	NA
NA	NA	0.365985406	NA	NA	NA
NA	NA	0.47110192	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	1.028529911	1.114762032	1.339839354	1.025500877
1.245867398	3.083206199	1.275882897	NA	NA	NA
0.978116951	1.531442279	1.041498118	NA	NA	NA
1.264123657	1.336554519	1.25346087	NA	NA	1.005150011
1.237013428	1.304511042	1.132364823	NA	NA	0.999052603
4.919698613	-0.249245737	3.128210296	0.949638062	19.98102561	1.000616018
0.85179972	0.678457724	1.067928922	1	0.857991241	1
1.186117089	0.643432792	1.260588915	1.080775643	0.834159512	1
0.778782571	NA	NA	NA	NA	NA
1.472049146	NA	NA	NA	NA	NA
2.251106842	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
3.947466656	-0.639738513	3.685442617	NA	7.848595731	1.248078953
1.350371993	1	1.350371993	NA	1	1.060503779
-1.713830898	1	-1.713830898	NA	1	1.062373935
1.772768701	0.5	1.772768701	1.670058101	1	1.018139949
0.715892848	0.88993148	0.918582871	NA	NA	NA
NA	1.058745494	1.20299618	NA	NA	NA
