obsID	covAggNum	identifier	ca_InvMean	ca_InvVar	ca_InvN	ca_NatMean	ca_NatVar	ca_NatN	operation	notes
5.01	1	site1	18	NA	NA	<1	NA	NA	average	
5.01	1	site2	51	NA	NA	<1	NA	NA	average	
5.01	2	site1	82	NA	NA	>99	NA	NA	average	
5.01	2	site2	49	NA	NA	>99	NA	NA	average	
12.01	1	1996	18.7	10.9	3	3.3	1.5	3	average	
12.01	1	1997	41.6	14	3	3.7	2.9	3	average	
12.01	1	1998	54.3	13.4	3	6.8	2.7	3	average	
12.01	1	1999	44.8	11.4	3	9.4	1.9	3	average	
12.01	1	2000	9.8	0.2	3	6.4	2.7	3	average	
12.01	1	2001	31.2	11.5	3	2.9	1.4	3	average	
12.01	2	1996	26.3	2.1	3	42.7	2.2	3	average	
12.01	2	1997	25.1	2.7	3	60.8	11.8	3	average	
12.01	2	1998	23.4	4.6	3	45.2	8.2	3	average	
12.01	2	1999	22.6	2.4	3	47.3	3.2	3	average	
12.01	2	2000	14.9	3.9	3	60.8	10.3	3	average	
12.01	2	2001	17.4	4.3	3	44.3	4.5	3	average	
12.02	1	1996	10.2	4.5	3	3.3	1.5	3	average	
12.02	1	1997	70.7	4.5	3	3.7	2.9	3	average	
12.02	1	1998	38.7	5.7	3	6.8	2.7	3	average	
12.02	1	1999	20.1	8.7	3	9.4	1.9	3	average	
12.02	1	2000	21.3	1.9	3	6.4	2.7	3	average	
12.02	1	2001	27.7	6.1	3	2.9	1.4	3	average	
12.02	2	1996	1	0.6	3	42.7	2.2	3	average	
12.02	2	1997	2.4	1.5	3	60.8	11.8	3	average	
12.02	2	1998	7.1	3.1	3	45.2	8.2	3	average	
12.02	2	1999	2.3	1.8	3	47.3	3.2	3	average	
12.02	2	2000	4.8	1.8	3	60.8	10.3	3	average	
12.02	2	2001	1.1	0.8	3	44.3	4.5	3	average	
71.01	1	2001	NA	NA	NA	525.203	52.033	5	average	
71.01	1	2002	NA	NA	NA	518.699	39.025	5	average	
71.01	2	2001	788.618	71.545	5	NA	NA	NA	average	
71.01	2	2002	1130.081	94.309	5	NA	NA	NA	average	
71.02	1	2001	941.38	243.79	5	NA	NA	NA	average	
71.02	1	2002	393.45	67.59	5	NA	NA	NA	average	
71.02	2	2001	NA	NA	NA	651.72	50.69	5	average	
71.02	2	2002	NA	NA	NA	494.83	53.103	5	average	
167.01	1	site1	50.9	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	1	site2	39.6	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	1	site3	57.1	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	1	site4	49.1	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	2	site1	0	NA	NA	33.7	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	2	site2	0	NA	NA	50.9	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	2	site3	0	NA	NA	57.8	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.01	2	site4	0	NA	NA	38.6	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	1	site1	41.2	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	1	site2	68.6	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	1	site3	70.1	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	1	site4	51.1	NA	NA	0	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	2	site1	0	NA	NA	35.2	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	2	site2	0	NA	NA	75.8	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	2	site3	0	NA	NA	46.8	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
167.02	2	site4	0	NA	NA	50.8	NA	NA	average	"these are canopy openness values, need to calculate 100-x"
705.01	1	June	23.448	6.724	6	39.655	8.276	6	average	
705.01	1	Aug	15.862	5.862	6	46.724	8.793	6	average	
705.01	1	Sept	23.966	6.379	6	39.483	8.276	6	average	
705.01	2	June	44.624	6.474	6	3.006	2.081	6	average	
705.01	2	Aug	69.133	5.318	6	9.017	4.625	6	average	
705.01	2	Sept	69.133	4.855	6	9.711	3.931	6	average	
