obsID	covEntryID	covCat	covDescript	covInvasive	covMultiGrowth	covMultiHeight	covSpEntryID	covNumSpp	covUnit	covVarType	covRef	covImageFile	covAggNum	covInvMean	covInvVar	covInvN	covNatMean	covNatVar	covNatN	covNote	covQuality	covQualityOther	
4.01	1	sp_plantcov	Typha x glauca	invasive	forb	understory	1	1 species	%	NA	Figure 1			35	NA	NA	0	NA	NA		measured		
4.01	2	sp_plantcov	Juncus nodosus	native	graminoid	understory	3	1 species	%	NA	Figure 1			4	NA	NA	32	NA	NA		measured		
4.01	3	sp_plantcov	Junus articulatus	native	graminoid	understory	6	1 species	%	NA	Figure 1			1	NA	NA	13	NA	NA		measured		
4.01	4	sp_plantcov	Juncus balticus	native	graminoid	understory	5	1 species	%	NA	Figure 1			30	NA	NA	0	NA	NA		measured		
4.01	5	sp_plantcov	Juncus alpinus	native	graminoid	understory	4	1 species	%	NA	Figure 1			2	NA	NA	0	NA	NA		measured		
4.01	6	sp_plantcov	Eleocharis smallii	native	graminoid	understory	7	1 species	%	NA	Figure 1			51	NA	NA	6	NA	NA		measured		
4.01	7	sp_plantcov	Eleocharis intermedia	native	graminoid	understory	8	1 species	%	NA	Figure 1			1	NA	NA	1	NA	NA		measured		
4.01	8	sp_plantcov	Schoenplectus acutus	native	graminoid	understory	9	1 species	%	NA	Figure 1			1	NA	NA	16	NA	NA		measured		
4.01	9	sp_plantcov	Carex hystericina	native	graminoid	understory	2	1 species	%	NA	Figure 1			1	NA	NA	0	NA	NA		measured		
4.01	10	sp_plantcov	Carex aquatilis	native	graminoid	understory	10	1 species	%	NA	Figure 1			4	NA	NA	0	NA	NA		measured		
4.02	1	sp_plantcov	Typha x glauca	invasive	forb	understory	1	1 species	%	NA	Figure 1			99.91	NA	NA	0	NA	NA		measured		
4.02	2	sp_plantcov	Juncus nodosus	native	graminoid	understory	5	1 species	%	NA	Figure 1			0	NA	NA	32	NA	NA		measured		
4.02	3	sp_plantcov	Junus articulatus	native	graminoid	understory	8	1 species	%	NA	Figure 1			0	NA	NA	13	NA	NA		measured		
4.02	4	sp_plantcov	Eleocharis smallii	native	graminoid	understory	4	1 species	%	NA	Figure 1			0	NA	NA	51	NA	NA		measured		
4.02	5	sp_plantcov	Eleocharis intermedia	native	graminoid	understory	7	1 species	%	NA	Figure 1			0	NA	NA	1	NA	NA		measured		
4.02	6	sp_plantcov	Schoenplectus americanus	native	graminoid	understory	6	1 species	%	NA	Figure 1			0	NA	NA	2	NA	NA		measured		
4.02	7	sp_plantcov	Schoenplectus acutus	native	graminoid	understory	3	1 species	%	NA	Figure 1			0	NA	NA	1	NA	NA		measured		
4.02	8	sp_plantcov	Carex hystericina	native	graminoid	understory	2	1 species	%	NA	Figure 1			0	NA	NA	0.09	NA	NA		measured		
5.01	1	sp_plantcov	All exotics	invasive	mixed	mixed	"1,2,3,4,5,6,7"	>1 species	%	NA	p.1264		1	AGG	AGG	AGG	AGG	AGG	AGG		BOSD		
5.01	2	sp_plantcov	Natives	native	mixed	mixed	"8,9,10,11,12,13,14,15"	>1 species	%	NA	p.1264		2	AGG	AGG	AGG	AGG	AGG	AGG		BOSD		
6.01	1	sp_plantcov	Melinis minutiflora	invasive	graminoid	understory	1	1 species	%	NA	p.206			100	NA	NA	0	NA	NA		BOSD		
6.01	2	sp_plantcov	Styphelia tameiameiae and Dodonaea viscosa	native	shrub	canopy	"2,3"	>1 species	%	NA	p.206			0	NA	NA	85	NA	NA	greater than NatMean	BOSD		
