obsID	measAggNum	identifier1	identifier1unit	identifier2	identifier2unit	identifier3	identifier3unit	ma_InvMean	ma_InvVar	ma_InvN	ma_NatMean	ma_NatVar	ma_NatN	operation1	operation1order	operation2	operation2order	operation3	operation3order	notes
4.01	1	nh						5.319	6.738	5	1.773	1.064	5	add						
4.01	1	no						0.658	0.734	5	0.405	0.076	5	add						
4.02	1	nh						77.66	15.957	5	1.773	1.064	5	add						
4.02	1	no						6.38	1.468	5	0.405	0.076	5	add						
5.01	1	EF		date1				6.095	1.136	6	7.541	1.447	6	average		average				
5.01	1	EF		date2				12.397	1.033	6	12.293	2.067	6	average		average				
5.01	1	EF		date3				35.847	2.479	6	38.017	2.685	6	average		average				
5.01	1	EF		date4				18.595	2.376	6	14.463	2.066	6	average		average				
5.01	1	EF		date5				4.236	1.239	6	5.682	1.343	6	average		average				
5.01	1	EF		date6				1.55	1.859	6	1.55	1.859	6	average		average				
5.01	1	WP		date1				5.682	1.239	6	13.843	1.343	6	average		average				
5.01	1	WP		date2				10.744	1.136	6	10.124	1.446	6	average		average				
5.01	1	WP		date3				45.868	4.339	6	25.93	2.789	6	average		average				
5.01	1	WP		date4				15.702	1.55	6	6.302	1.859	6	average		average				
5.01	1	WP		date5				1.55	1.239	6	2.789	0.827	6	average		average				
5.01	1	WP		date6				1.446	1.86	6	1.756	1.756	6	average		average				
5.01	2	nh						4.7	0.3	2	3.5	1.1	2	add						
5.01	2	no						4.5	0	2	4.75	0.25	2	add						
12.01	1	nh						12.2	4.2	3	9.5	0.8	3	add						
12.01	1	no						8.5	2.2	3	8.3	1.1	3	add						
12.02	1	nh						9.7	1.4	21	9.5	0.8	21	add						
12.02	1	no						7.7	0.5	21	8.3	1.1	21	add						
15.01	1	nh						0.3	0.02	6	0.54	0.06	6	add						
15.01	1	no						2.25	0.21	6	1.65	0.11	6	add						
15.01	2	1998						4.686	0.343	8	2.329	0.357	8	average						
15.01	2	1999						5.286	0.585	8	3.686	0.585	8	average						
15.01	3	0-2cm						0.155	0.02	6	0.11	0.004	6	average						
15.01	3	2-10cm						0.095	0.007	6	0.078	0.004	6	average						
15.01	4	date1						17.914	0.352	6	17.165	0.309	6	average						
15.01	4	date10						14.04	0.221	6	11.576	0.528	6	average						
15.01	4	date11						8.055	0.44	6	8.099	0.22	6	average						
15.01	4	date12						3.477	0.264	6	2.949	0.264	6	average						
15.01	4	date2						10.475	0.529	6	12.544	0.176	6	average						
15.01	4	date3						6.91	0.352	6	9.243	0.44	6	average						
15.01	4	date4						4.093	0.352	6	3.785	0.352	6	average						
15.01	4	date5						16.461	0.44	6	15.273	0.264	6	average						
15.01	4	date6						6.426	0.264	6	5.238	0.264	6	average						
15.01	4	date7						13.996	0.309	6	15.273	0.572	6	average						
15.01	4	date8						8.011	0.396	6	10.739	0.353	6	average						
15.01	4	date9						13.512	0.44	6	13.6	0.352	6	average						
15.02	1	date1						2.427	0.287	6	2.299	0.191	6	average						
15.02	1	date2						2.65	0.447	6	1.692	0.096	6	average						
15.02	1	date3						4.821	0.607	6	2.65	0.255	6	average						
15.02	1	date4						3.352	0.671	6	3.991	0.639	6	average						
15.02	1	date5						9.962	1.468	6	7.822	2.427	6	average						
15.02	2	1998						4.686	0.343	8	3.129	0.228	8	average						
15.02	2	1999						5.286	0.585	8	3.614	0.572	8	average						
