obsID	measEntryID	measCat	measUnit	measVarType	measRef	measImageFile	measAggNum	measAggNote	measInvMean	measInvVar	measInvN	measNatMean	measNatVar	measNatN	measNote	measMethod
4.01	1	biom	g/m2	SE	Table 1				354.8	19.3	3	290	7.13	3		
4.01	2	litterbiom	g/m2	SE	Table 1				571.1	27.7	3	177.3	2.81	3		
4.01	3	ph	pH	SE	Table 2				7.73	0.048	5	8.15	0.04	5		
4.01	4	som	%	SE	Table 2				2.85	0.811	5	1.98	0.554	5		
4.01	5	soilmoi	%	SE	Table 2				33.9	2.76	5	26.6	2.03	5		
4.01	6	no	ug/g	SE	Figure 2b	4.xlsx			0.658	0.734	5	0.405	0.076	5		
4.01	7	nh	ug/g	SE	Figure 2a	4.xlsx			5.319	6.738	5	1.773	1.064	5		
4.01	8	toti	ug/g	SE	Figure 2	4.xlsx	1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
4.02	1	biom	g/m2	SE	Table 1				639.6	29.36	3	290	7.13	3		
4.02	2	litterbiom	g/m2	SE	Table 1				2470.5	40.5	3	177.3	2.81	3		
4.02	3	ph	pH	SE	Table 2				7.52	0.044	5	8.15	0.04	5		
4.02	4	som	%	SE	Table 2				8.08	2.15	5	1.98	0.554	5		
4.02	5	soilmoi	%	SE	Table 2				80.2	4.51	5	26.6	2.03	5		
4.02	6	no	ug/g	SE	Figure 2b	4.xlsx			6.38	1.468	5	0.405	0.076	5		
4.02	7	nh	ug/g	SE	Figure 2a	4.xlsx			77.66	15.957	5	1.773	1.064	5		
4.02	8	toti	ug/g	SE	Figure 2	4.xlsx	1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
5.01	1	litterbiom	g	SE	Figure 1	5.xlsx	1	Average across 2 sites and 6 sampling times	AGG	AGG	AGG	AGG	AGG	AGG		"this is litterfall, not standing litter biomass"
5.01	2	soilmoi	%	SE	Table 2				20.9	1.77	2	17.6	1.47	2		
5.01	3	som	%	SE	Table 2				2.75	0.15	2	3.5	1.3	2		
5.01	4	ph	pH	SE	Table 2				4.5	0.2	2	4.15	0.25	2		
5.01	5	no	mg/kg	SE	Table 2				4.5	0	2	4.75	0.25	2		
5.01	6	nh	mg/kg	SE	Table 2				4.7	0.3	2	3.5	1.1	2		
5.01	7	toti	mg/kg	SE	Table 2		2	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
6.01	1	toti	ug/g	SE	Figure 1a	6.xlsx			10.107	0.99	25	7.508	0.619	25		
6.01	2	ammonif	ug/g*mo	SE	Figure 2	6.xlsx			9.452	2.4	50	4.976	1.61	50		
6.01	3	nitrif	ug/g*mo	SE	Figure 2	6.xlsx			3.043	0.194	50	3.011	0.21	50		
6.01	4	soiln	mg/g	95percentile	Figure 3	6.xlsx		The author pooled wet and dry season (6.01 and 6.02 obsID) data	6309.92	1264.46	100	6115.7	1008.26	100	see measAggNote	
6.02	1	toti	ug/g	SE	Figure 1a	6.xlsx			1.968	0.375	25	1.269	0.24	25		
6.02	2	ammonif	ug/g*mo	SE	Figure 2	6.xlsx			7.89	2.094	50	2.399	0.709	50		
6.02	3	nitrif	ug/g*mo	SE	Figure 2	6.xlsx			0.58	0.177	50	1.24	0.451	50		
6.02	4	soiln	mg/g	95percentile	Figure 3	6.xlsx		The author pooled wet and dry season (6.01 and 6.02 obsID) data	6309.92	1264.46	100	6115.7	1008.26	100	see measAggNote	
12.01	1	som	%	SE	Table 1			The author pooled across 7 years	1.3	0.1	21	0.9	0.1	21		
12.01	2	soiln	ppm	SE	Table 1			The author pooled across 7 years	445	22	21	385	16	21		
12.01	3	ammonif	ppm	SE	Table 1			The author pooled across 7 years	4.5	4.5	21	8.5	1.3	21	Unit incorrect because there is no indication of time	
12.01	4	nh	ppm	SE	Table 1			The author pooled across 7 years	12.2	4.2	21	9.5	0.8	21		
12.01	5	no	ppm	SE	Table 1			The author pooled across 7 years	8.5	2.2	21	8.3	1.1	21		
12.01	6	toti	ppm	SE	Table 1		1	Add nh and no; The author pooled across 7 years	AGG	AGG	AGG	AGG	AGG	AGG		
12.02	1	som	%	SE	Table 1			The author pooled across 7 years	0.7	0.1	21	0.9	0.1	21		
12.02	2	soiln	ppm	SE	Table 1			The author pooled across 7 years	385	22	21	385	16	21		
