paperID	obsID	obsDescript	location	ecosystCat	ecosystDescript	studyType	obsMeasNote	obsCovNote	obsTraitNote	obsSpNote	GOBACK?
4	4.01	invaded comparison = transition	"Cheboygan Marsh, MI, USA"	wetland	freshwater wetland	field study	"3 0.5m2 plots were established in 3 vegetation types: a) native, Typha (invaded), and transition zones (invaded). 5 soil samples were collected from each vegetation zone (10cm depth)."	Estimated biomass with stem counts and heights	NA	NA	No
4	4.02	invaded comparison = Typha	"Cheboygan Marsh, MI, USA"	wetland	freshwater wetland	field study	"3 0.5m2 plots were established in 3 vegetation types: a) native, Typha (invaded), and transition zones (invaded). 5 soil samples were collected from each vegetation zone (10cm depth)."	Estimated biomass with stem counts and heights	NA	NA	No
5	5.01	NA	"Long Island, NY, USA"	forest	eastern deciduous forest	field study	"Sampled an invaded and native plot in 2 preserves.  Invaded plots had many invasive species. 7 soil samples were collected per plot (10cm depth). For this meta-analysis, I chose to keep this a one observation; I did not split data from the 2 preserves into two observations because samples taken within the plots are described as pseudoreps."	NA	Leaf tissue N% of 2 native species common to all sites - Prunus and Viburnum. Based on 3 leaves of litter.	NA	Email authors for more specific cover data
6	6.01	dry season	"Molakai Island, HI, USA"	shrubland	moist shrubland	field study	"3 adjacent 2500m2 areas: a) intact natives, b) mosaic, c) monospecific invasion. Sampled soil during the dry and wet season (2 observations?).  25 2-diameter shrub plots per native and invaded area. Pooled 3 cores per plot."	NA	Fresh and abscised leaves were sampled in each plot for C and N content	"Many native species listed, not all species have corresponding cover estimates in text"	Consider aggregating dry and wet season observation data
6	6.02	wet season	"Molakai Island, HI, USA"	shrubland	moist shrubland	field study	"3 adjacent 2500m2 areas: a) intact natives, b) mosaic, c) monospecific invasion. Sampled soil during the dry and wet season (2 observations?).  25 2-diameter shrub plots per native and invaded area. Pooled 3 cores per plot."	NA	Fresh and abscised leaves were sampled in each plot for C and N content	"Many native species listed, not all species have corresponding cover estimates in text"	Consider aggregating dry and wet season observation data
12	12.01	invaded comparison = recently invaded	"Canyonlands National Park, UT, USA"	grassland	semi-arid desert	field study	"Established 3 replicate plots in 3 vegetation types: a) not invaded (native), b) recently invaded (invaded), and c) historically invaded (invaded). Vegetation cover by species was measured with 25-0.25m2 quadrats within each of the 9 plots.  Soil samples (10cm depth) taken under vegetation in those quadrats."	Only 1 dominant native species listed.  Assume that native cover is equal to the cover of that species	NA	NA	No
12	12.02	invaded comparison = historically invaded	"Canyonlands National Park, UT, USA"	grassland	semi-arid desert	field study	"Established 3 replicate plots in 3 vegetation types: a) not invaded (native), b) recently invaded (invaded), and c) historically invaded (invaded). Vegetation cover by species was measured with 25-0.25m2 quadrats within each of the 9 plots.  Soil samples (10cm depth) taken under vegetation in those quadrats."	Only 1 dominant native species listed.  Assume that native cover is equal to the cover of that species	NA	NA	No
15	15.01	native comparison = Artemisia	"Curlew Valley, UT, USA"	grassland	desert shrub-steppe	field study	"Sampled under 3 vegetation types: a) Bromus (invasive), b) Artemisia (native), and c) Elymus (native) (3 observations). Soil sampled in spring and fall. Insitu core N minz in fall and gross mineralization evaluated in spring."	NA	NA	"Many native species listed, not all species have corresponding cover estimates in text"	No
15	15.02	native comparison = Elymus	"Curlew Valley, UT, USA"	grassland	desert shrub-steppe	field study	"Sampled under 3 vegetation types: a) Bromus (invasive), b) Artemisia (native), and c) Elymus (native) (3 observations). Soil sampled in spring and fall. Insitu core N minz in fall and gross mineralization evaluated in spring."	NA	NA	"Many native species listed, not all species have corresponding cover estimates in text"	No
25	25.01	"location = MNHP, invaded comparison = Berberis, studyType = field study"	"Morristown National Historic Park, NJ, USA"	forest	eastern deciduous forest	field study	"Sampled under 3 clumps of plants from 3 sampling locations.  Soil samples (0-5cm) were taken from beneath the canopies of plants and sampled in March, June.  Buried bag N minz incubation for 3 weeks. Estimated standing crop biomass and tissue N content, and litter decomposition."	Evaluated the number of stems per m2 of the species in the study plots.  Invader is provided in percent cover since stems are difficult to quantify.	"Tree litter N content, shrub and invader N content in live plant and litter material"	"Many native species listed, so listed the first 10.  See Table 1 'other species' for more understory species. Same native species listed for all locations."	Consider aggregating by location
