done	paperID	source	reject	rejectRationale	traitDataOnly	inPapers	author1	author2	author3	year	title	journal	doi
	1	Liao2007	No			Yes	Allison	Nielsen	Hughes	2006	Elevated enzyme activities in soils under the invasive nitrogen-fixing tree Falcataria moluccana	Soil Biology and Biochemistry	
	2	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Allison	Vitousek		2004	Extracellular enzyme activities and carbon chemistry as drivers of tropical plant litter decomposition	Biotropica	
	3	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Allison	Vitousek		2004	Rapid nutrient cycling in leaf litter from invasive plants in Hawai’i	Oecologia	
y	4	Liao2007	No			Yes	Angeloni	Jankowski	Tuchman	2006	Effects of an invasive cattail species (Typha x glauca) on sediment nitrogen and microbial community composition in a freshwater wetland	Fems Microbiology Letters	
y	5	Liao2007	No			Yes	Ashton	Hyatt	Howe	2005	Invasive species accelerate decomposition and litter nitrogen loss in a mixed deciduous forest	Ecological Applications	
y	6	Liao2007	No			Yes	Asner	Beatty		1996	Effects of an African grass invasion on Hawaiian shrubland nitrogen biogeochemistry	Plant and Soil	
	7	Liao2007	No			Yes	Baer	Church	Williard	2006	Changes in intrasystem N cycling from N2-fixing shrub encroachment in grassland: multiple positive feedbacks	Agriculture Ecosystems and Environment	
	8	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Baruch	Goldstein		1999	"Leaf construction cost, nutrient concentration, and net CO2 assimilation of native and invasive species in Hawaii"	Oecologia	
	9	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Batten	Six	Scow	2005	Plant invasion of native grassland on serpentine soils has no major effects upon selected physical and biological properties	Soil Biology and Biochemistry	
	10	Liao2007	No			Yes	Bellingham	Peltzer	Walker	2005	Contrasting impacts of a native and an invasive exotic shrub on flood-plain succession	Journal of Vegetation Science	
	11	Liao2007	No			Yes	Belnap	Phillips		2001	Soil biota in an ungrazed grassland: Response to annual grass (Bromus tectorum) invasion	Ecological Applications	
y	12	Liao2007	No			Yes	Belnap	Phillips	Sherrod	2005	Soil biota can change after exotic plant invasion: does this affect ecosystem processes?	Ecology	
	13	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Belote	Weltzin	Norby	2004	Response of an understory plant community to elevated CO2 depends on differential responses of dominant invasive species and is mediated by soil water availability	New Phytologist	
	14	Liao2007	No			Yes	Blank	Youn		2002	"Influence of the exotic invasive crucifer, Lepidium latifolium on soil properties and elemental cycling"	Soil Science	
y	15	Liao2007	No			Yes	Booth	Stark	Caldwell	2003	Inorganic N turnover and availability in annual- and perennial-dominated soils in a northern Utah shrub-steppe ecosystem	Biogeochemistry	
	16	Liao2007	No			Yes	Boswell	Espie		1998	Uptake of moisture and nutrients by Hieracium pilosella and effects on soil in a dry sub-humid grassland	New Zealand Journal of Agricultural Research	
	17	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Bradley	Houghtonw	Mustard	2006	Invasive grass reduces aboveground carbon stocks in shrublands of the Western US	Global Change Biology	
	18	Liao2007	No			Yes	Caldwell			2006	Effects of invasive scotch broom on soil properties in a Pacific coastal prairie soil	Applied Soil Ecology	
	19	Liao2007	No			Yes	Chapuis-Lardy	Vanderhoeven	Dassonville	2006	Effect of the exotic invasive plant Solidago gigantea on soil phosphorus status	Biology and Fertility of Soils	
	20	Liao2007	Yes	In Chinese and cannot read it		No	Chen	Li	Chen	2005	Some growth characteristics and relative competitive ability of invasive Spartina alterniflora and native Scirpus mariqueter	Biodiversity Science (In Chinese)	
	21	Liao2007	No			Yes	Christian	Wilson		1999	Long-term ecosystem impacts of an introduced grass in the northern Great Plains	Ecology	
	22	Liao2007	Yes	No soil nitrogen measurements presented under invasive and reference species		No	Corbin	D’Antonio		2004	Competition between native perennial and exotic annual grasses: Implications for an historical invasion	Ecology	
	23	Liao2007	No			Yes	Cushman	Tierney	Hinds	2004	Variable effects of feral pig disturbances on native and exotic plants in a California grassland	Ecological Applications	
	24	Liao2007	"Yes, but has traits"	No soil nitrogen measurements presented under invasive and reference species	Yes	Yes	Durand	Goldstein		2001	"Photosynthesis, photoinhibition, and nitrogen use efficiency in native and invasive tree ferns in Hawaii"	Oecologia	
