obsID	spEntryID	spName	spInvasive	spGrowth	spHeight	spAnnPerenn	spNotes
4.01	1	Typha x glauca	invasive	forb	understory	perennial	
4.01	2	Carex hystericina	native	graminoid	understory	perennial	
4.01	3	Juncus nodosus	native	graminoid	understory	perennial	
4.01	4	Juncus alpinus	native	graminoid	understory	perennial	
4.01	5	Juncus balticus	native	graminoid	understory	perennial	
4.01	6	Junus articulatus	native	graminoid	understory	perennial	
4.01	7	Eleocharis smallii	native	graminoid	understory	perennial	
4.01	8	Eleocharis intermedia	native	graminoid	understory	perennial	
4.01	9	Schoenplectus acutus	native	graminoid	understory	perennial	
4.01	10	Carex aquatilis	native	graminoid	understory	perennial	
4.02	1	Typha x glauca	invasive	forb	understory	perennial	
4.02	2	Carex hystericina	native	graminoid	understory	perennial	
4.02	3	Schoenplectus acutus	native	graminoid	understory	perennial	
4.02	4	Eleocharis smallii	native	graminoid	understory	perennial	
4.02	5	Juncus nodosus	native	graminoid	understory	perennial	
4.02	6	Schoenplectus americanus	native	graminoid	understory	perennial	
4.02	7	Eleocharis intermedia	native	graminoid	understory	perennial	
4.02	8	Junus articulatus	native	graminoid	understory	perennial	
5.01	1	Alliaria petiolata	invasive	forb	understory	perennial	
5.01	2	Lonicera japonica	invasive	vine	understory	perennial	
5.01	3	Celastrus orbiculata	invasive	vine	understory	perennial	
5.01	4	Elaegnus umbellata	invasive	shrub	understory	perennial	
5.01	5	Rosa multiflora	invasive	shrub	understory	perennial	
5.01	6	Acer platanoides	invasive	tree	canopy	perennial	
5.01	7	Ampelopsis brevipedunculata	invasive	vine	understory	perennial	
5.01	8	Acer rubrum	native	tree	canopy	perennial	
5.01	9	Fagus grandifolia	native	tree	canopy	perennial	
5.01	10	Quercus rubra	native	tree	canopy	perennial	
5.01	11	Quercus alba	native	tree	canopy	perennial	
5.01	12	Prunus serotina	native	tree	canopy	perennial	
5.01	13	Viburnum acerifolium	native	shrub	understory	perennial	
5.01	14	Cornus florida	native	tree	canopy	perennial	
5.01	15	Vitus novae-angliae	native	vine	understory	perennial	
6.01	1	Melinis minutiflora	invasive	graminoid	understory	perennial	
6.01	2	Styphelia tameiameiae	native	shrub	unclassified	perennial	
6.01	3	Dodonaea viscosa	native	shrub	unclassified	perennial	
6.01	4	Wikstroemia oahuensis	native	shrub	unclassified	perennial	
6.01	5	Metrosideros polymorpha	native	shrub	unclassified	perennial	
6.01	6	Pteridium aquilinum	native	forb	understory	perennial	"""ubiquitous"""
6.02	1	Melinis minutiflora	invasive	graminoid	understory	perennial	
6.02	2	Styphelia tameiameiae	native	shrub	unclassified	perennial	
6.02	3	Dodonaea viscosa	native	shrub	unclassified	perennial	
6.02	4	Wikstroemia oahuensis	native	shrub	unclassified	perennial	
6.02	5	Metrosideros polymorpha	native	shrub	unclassified	perennial	
6.02	6	Pteridium aquilinum	native	forb	understory	perennial	"""ubiquitous"""
12.01	1	Bromus tectorum	invasive	graminoid	understory	annual	
12.01	2	Hilaria jamesii	native	graminoid	understory	perennial	synonym = Pleuraphis jamesii
12.02	1	Bromus tectorum	invasive	graminoid	understory	annual	
12.02	2	Hilaria jamesii	native	graminoid	understory	perennial	
15.01	1	Bromus tectorum	invasive	graminoid	understory	annual	
15.01	2	Artemisia tridentata	native	shrub	understory	perennial	
15.01	3	Atriplex nutallii	native	shrub	understory	perennial	
15.01	4	Ceratoides lanata	native	shrub	understory	perennial	synonymn = Kreshnekovia lanata
15.01	5	Elymus elymoides	native	graminoid	understory	perennial	
15.02	1	Bromus tectorum	invasive	graminoid	understory	annual	
15.02	2	Elymus elymoides	native	graminoid	understory	perennial	
15.02	3	Atriplex nutallii	native	shrub	understory	perennial	
15.02	4	Ceratoides lanata	native	shrub	understory	perennial	synonymn = Kreshnekovia lanata
25.01	1	Berberis thunbergii	invasive	shrub	understory	perennial	
25.01	2	Quercus spp	native	tree	canopy	perennial	
25.01	3	Fagus grandifolia	native	tree	canopy	perennial	
25.01	4	Betula lenta	native	tree	canopy	perennial	
25.01	5	Acer spp	native	tree	canopy	perennial	
25.01	6	Rubus spp	native	shrub	understory	perennial	
25.01	7	Rosa spp	native	shrub	understory	perennial	
25.01	8	Lindera benzoin	native	shrub	understory	perennial	
25.01	9	Hammamelis virginiana	native	shrub	understory	perennial	
25.01	10	Parthenocissus quinquefolia	native	vine	understory	perennial	
25.02	1	Berberis thunbergii	invasive	shrub	understory	perennial	
25.02	2	Vaccinium spp	native	shrub	understory	perennial	
25.02	3	Quercus spp	native	tree	canopy	perennial	
25.02	4	Fagus grandifolia	native	tree	canopy	perennial	
25.02	5	Betula lenta	native	tree	canopy	perennial	
25.02	6	Acer spp	native	tree	canopy	perennial	
25.02	7	Rubus spp	native	shrub	understory	perennial	
25.02	8	Rosa spp	native	shrub	understory	perennial	
25.02	9	Lindera benzoin	native	shrub	understory	perennial	
25.02	10	Hammamelis virginiana	native	shrub	understory	perennial	
25.02	11	Parthenocissus quinquefolia	native	vine	understory	perennial	
25.03	1	Berberis thunbergii	invasive	shrub	understory	perennial	
25.03	2	Vaccinium spp	native	shrub	understory	perennial	
25.03	3	Quercus spp	native	tree	canopy	perennial	
25.03	4	Fagus grandifolia	native	tree	canopy	perennial	
25.03	5	Betula lenta	native	tree	canopy	perennial	
25.03	6	Acer spp	native	tree	canopy	perennial	
25.03	7	Rubus spp	native	shrub	understory	perennial	
25.03	8	Rosa spp	native	shrub	understory	perennial	
25.03	9	Lindera benzoin	native	shrub	understory	perennial	
25.03	10	Hammamelis virginiana	native	shrub	understory	perennial	
25.03	11	Parthenocissus quinquefolia	native	vine	understory	perennial	
25.04	1	Microstegium vimineum	invasive	graminoid	understory	annual	
25.04	2	Vaccinium spp	native	shrub	understory	perennial	
25.04	3	Quercus spp	native	tree	canopy	perennial	
25.04	4	Fagus grandifolia	native	tree	canopy	perennial	
25.04	5	Betula lenta	native	tree	canopy	perennial	
25.04	6	Acer spp	native	tree	canopy	perennial	
25.04	7	Rubus spp	native	shrub	understory	perennial	
25.04	8	Rosa spp	native	shrub	understory	perennial	
25.04	9	Lindera benzoin	native	shrub	understory	perennial	
25.04	10	Hammamelis virginiana	native	shrub	understory	perennial	
25.04	11	Parthenocissus quinquefolia	native	vine	understory	perennial	
25.05	1	Microstegium vimineum	invasive	graminoid	understory	annual	
25.05	2	Vaccinium spp	native	shrub	understory	perennial	
25.05	3	Quercus spp	native	tree	canopy	perennial	
25.05	4	Fagus grandifolia	native	tree	canopy	perennial	
25.05	5	Betula lenta	native	tree	canopy	perennial	
25.05	6	Acer spp	native	tree	canopy	perennial	
