obsID	traitAggNum	identifier1	identifier1unit	identifier2	identifier2unit	ta_Mean	ta_Var	ta_N	operation1	operation1order	operation2	operation2order
5.01	1	inv				2.67	0.019	3	average			
5.01	1	uninv				2.127	0.06	3	average			
5.01	2	inv				2.352	0.019	3	average			
5.01	2	uninv				1.738	0.011	3	average			
29.01	1	NA		N	mg/mesocosm	789	65	8	NA		calcPercent	"N, biomass"
29.01	1	root		biomass	g/mesocosm	115.841	13.938	8	add		calcPercent	"N, biomass"
29.01	1	shoot		biomass	g/mesocosm	113.363	7.433	8	add		calcPercent	"N, biomass"
29.01	2	NA		N	mg/mesocosm	793	86	8	NA		calcPercent	"N, biomass"
29.01	2	root		biomass	g/mesocosm	53.894	8.672	8	add		calcPercent	"N, biomass"
29.01	2	shoot		biomass	g/mesocosm	36.858	3.717	8	add		calcPercent	"N, biomass"
29.02	1	NA		N	mg/mesocosm	789	65	8	NA		calcPercent	"N, biomass"
29.02	1	root		biomass	g/mesocosm	115.841	13.938	8	add		calcPercent	"N, biomass"
29.02	1	shoot		biomass	g/mesocosm	113.363	7.433	8	add		calcPercent	"N, biomass"
29.02	2	NA		N	mg/mesocosm	793	86	8	NA		calcPercent	"N, biomass"
29.02	2	root		biomass	g/mesocosm	53.894	8.672	8	add		calcPercent	"N, biomass"
29.02	2	shoot		biomass	g/mesocosm	36.858	3.717	8	add		calcPercent	"N, biomass"
53.01	1	C				39.4	1.7	2	divide	"C,N"		
53.01	1	N				1.9	0.2	2	divide	"C,N"		
53.01	2	C				51.5	0.5	2	divide	"C,N"		
53.01	2	N				1.4	0.2	2	divide	"C,N"		
53.01	3	C				49.8	0.2	2	divide	"C,N"		
53.01	3	N				2.6	0.4	2	divide	"C,N"		
53.01	4	C				50.2	0.7	2	divide	"C,N"		
53.01	4	N				1.2	0.02	2	divide	"C,N"		
53.01	5	C				38.6	4.3	2	divide	"C,N"		
53.01	5	N				0.64	0.14	2	divide	"C,N"		
53.01	6	C				52	0.01	2	divide	"C,N"		
53.01	6	N				0.56	0.02	2	divide	"C,N"		
53.01	7	C				47.5	2	2	divide	"C,N"		
53.01	7	N				1.34	0.21	2	divide	"C,N"		
53.01	8	C				49.5	0.63	2	divide	"C,N"		
53.01	8	N				0.6	0.02	2	divide	"C,N"		
71.01	1	2000		biomass	g/m2	788.618	71.545	5	average		calcPercent	"N,biomass"
71.01	1	2000		N	g/m2	2.243	0.183	5	average		calcPercent	"N,biomass"
71.01	1	2001		biomass	g/m2	1130.081	94.309	5	average		calcPercent	"N,biomass"
71.01	1	2001		N	g/m2	2.165	0.157	5	average		calcPercent	"N,biomass"
71.01	2	2000		biomass	g/m2	525.203	52.033	5	average		calcPercent	"N,biomass"
71.01	2	2000		N	g/m2	2.843	0.287	5	average		calcPercent	"N,biomass"
71.01	2	2001		biomass	g/m2	518.699	39.025	5	average		calcPercent	"N,biomass"
71.01	2	2001		N	g/m2	4.565	0.548	5	average		calcPercent	"N,biomass"
71.02	1	2000		biomass	g/m2	651.72	50.69	10	average		calcPercent	"N,biomass"
71.02	1	2000		N	g/m2	3.481	0.389	10	average		calcPercent	"N,biomass"
71.02	1	2001		biomass	g/m2	494.83	53.103	10	average		calcPercent	"N,biomass"
71.02	1	2001		N	g/m2	2.922	0.533	10	average		calcPercent	"N,biomass"
71.02	2	2000		biomass	g/m2	941.38	243.79	10	average		calcPercent	"N,biomass"
71.02	2	2000		N	g/m2	5.766	1.013	10	average		calcPercent	"N,biomass"
71.02	2	2001		biomass	g/m2	393.45	67.586	10	average		calcPercent	"N,biomass"
71.02	2	2001		N	g/m2	2.26	0.428	10	average		calcPercent	"N,biomass"
156.01	1	AM1				1.86	0.04	12	average			
156.01	1	NHM				3.64	0.05	12	average			
156.01	1	RB1				2.23	0.19	12	average			
156.01	2	AM1		N	%	1.86	0.04	12	average		divide	"C,N"
156.01	2	AM1		C	%	47.4	0.1	12	average		divide	"C,N"
156.01	2	NHM		N	%	3.64	0.05	12	average		divide	"C,N"
156.01	2	NHM		C	%	44.6	0.1	12	average		divide	"C,N"
156.01	2	RB1		N	%	2.23	0.19	12	average		divide	"C,N"
156.01	2	RB1		C	%	37.9	3.1	12	average		divide	"C,N"
236.01	1	2006				0.92	0.06	6	average			
236.01	1	2007				1.28	0.07	6	average			
236.01	2	Aug2006				40.325	4.77	6	average			
236.01	2	Jun2006				36.965	3.143	6	average			
236.01	2	Mar2007				62.005	5.204	6	average			
236.01	2	Oct2006				51.165	2.819	6	average			
236.01	3	biomass	g			3	NA	6	calcPercent	"N,biomass"		
236.01	3	N	mg			17.134	1.191	6	calcPercent	"N,biomass"		
236.01	4	biomass	g			3	NA	6	calcPercent	"N,biomass"		
236.01	4	N	mg			31.335	1.008	6	calcPercent	"N,biomass"		
716.01	1	N	mg/g	N	%	16.96366667	1.537512909	12	ratioToPercent		divide	"C,N"
716.01	1	NA		C	%	49.84375	0.329803686	12	NA		divide	"C,N"
716.01	2	N	mg/g	N	%	21.4699	1.736988898	10	ratioToPercent		divide	"C,N"
716.01	2	NA		C	%	47.34133333	0.477081754	9	NA		divide	"C,N"
716.01	3	N	mg/g	N	%	17.93835714	1.264972825	14	ratioToPercent		divide	"C,N"
716.01	3	NA		C	%	47.32126667	0.345431414	15	NA		divide	"C,N"
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
716.01	5	NEEDED				NEEDED	NEEDED	NEEDED	NEEDED			
716.01	6	NEEDED				NEEDED	NEEDED	NEEDED	NEEDED			
