obsID	traitEntryID	traitCat	traitSpName	traitSpEntryID	traitUnit	traitVarType	traitRef	traitImageFile	traitAggNum	traitMean	traitVar	traitN	traitNote
5.01	1	sp_percN	Prunus serotina	12	%	SE	Figure 2	5.xlsx	1	AGG	AGG	AGG	
5.01	2	sp_percN	Viburnum acerifolium	13	%	SE	Figure 2	5.xlsx	2	AGG	AGG	AGG	
5.01	3	sp_litterpercN	Acer rubrum	8	%	SE	Table 4			1.1	0.04	3	
5.01	4	sp_litterpercN	Vitus novae-angliae	15	%	SE	Table 4			1.43	0.04	3	
5.01	5	sp_litterpercN	Viburnum acerifolium	13	%	SE	Table 4			1.1	0.12	3	
5.01	6	sp_litterpercN	Cornus florida	14	%	SE	Table 4			0.73	0.02	3	
5.01	7	sp_litterpercN	Acer platanoides	6	%	SE	Table 4			2.07	0.13	3	
5.01	8	sp_litterpercN	Ampelopsis brevipedunculata	7	%	SE	Table 4			1.26	0.01	3	
5.01	9	sp_litterpercN	Lonicera japonica	2	%	SE	Table 4			1.24	0.01	3	
5.01	10	sp_litterpercN	Rosa multiflora	5	%	SE	Table 4			1.83	0.05	3	
5.01	11	sp_littercn	Acer rubrum	8	NA	SE	Table 4			47.8	2.05	3	
5.01	12	sp_littercn	Vitus novae-angliae	15	NA	SE	Table 4			33.8	0.79	3	
5.01	13	sp_littercn	Viburnum acerifolium	13	NA	SE	Table 4			44.7	2.25	3	
5.01	14	sp_littercn	Cornus florida	14	NA	SE	Table 4			64.1	1.23	3	
5.01	15	sp_littercn	Acer platanoides	6	NA	SE	Table 4			23.1	1.68	3	
5.01	16	sp_littercn	Ampelopsis brevipedunculata	7	NA	SE	Table 4			35.6	0.18	3	
5.01	17	sp_littercn	Lonicera japonica	2	NA	SE	Table 4			38.1	0.21	3	
5.01	18	sp_littercn	Rosa multiflora	5	NA	SE	Table 4			25.1	0.29	3	
6.01	1	sp_percN	Melinis minutiflora	1	mg/g	SE	Table 1			12.2	0.2	50	same trait values for obs 6.01 and 6.02
6.01	2	sp_cn	Melinis minutiflora	1	NA	SE	Table 1			35.4	0.5	50	same trait values for obs 6.01 and 6.02
6.01	3	sp_litterpercN	Melinis minutiflora	1	mg/g	SE	Table 1			9.3	0.4	50	same trait values for obs 6.01 and 6.02
6.01	4	sp_littercn	Melinis minutiflora	1	NA	SE	Table 1			46.4	0.6	50	same trait values for obs 6.01 and 6.02
6.01	5	sp_percN	Styphelia tameiameiae	2	mg/g	SE	Table 1			8.6	0.2	32	same trait values for obs 6.01 and 6.02
6.01	6	sp_cn	Styphelia tameiameiae	2	NA	SE	Table 1			59.4	1.2	32	same trait values for obs 6.01 and 6.02
6.01	7	sp_litterpercN	Styphelia tameiameiae	2	mg/g	SE	Table 1			6.3	0.2	32	same trait values for obs 6.01 and 6.02
6.01	8	sp_littercn	Styphelia tameiameiae	2	NA	SE	Table 1			79.2	0.4	32	same trait values for obs 6.01 and 6.02
6.01	9	sp_percN	Dodonaea viscosa	3	mg/g	SE	Table 1			12.1	0.5	18	same trait values for obs 6.01 and 6.02
6.01	10	sp_cn	Dodonaea viscosa	3	NA	SE	Table 1			39.9	1.5	18	same trait values for obs 6.01 and 6.02
6.01	11	sp_litterpercN	Dodonaea viscosa	3	mg/g	SE	Table 1			7.6	0.3	18	same trait values for obs 6.01 and 6.02
6.01	12	sp_littercn	Dodonaea viscosa	3	NA	SE	Table 1			63.5	0.3	18	same trait values for obs 6.01 and 6.02
6.02	1	sp_percN	Melinis minutiflora	1	mg/g	SE	Table 1			12.2	0.2	50	same trait values for obs 6.01 and 6.02
6.02	2	sp_cn	Melinis minutiflora	1	NA	SE	Table 1			35.4	0.5	50	same trait values for obs 6.01 and 6.02
6.02	3	sp_litterpercN	Melinis minutiflora	1	mg/g	SE	Table 1			9.3	0.4	50	same trait values for obs 6.01 and 6.02
6.02	4	sp_littercn	Melinis minutiflora	1	NA	SE	Table 1			46.4	0.6	50	same trait values for obs 6.01 and 6.02
6.02	5	sp_percN	Styphelia tameiameiae	2	mg/g	SE	Table 1			8.6	0.2	32	same trait values for obs 6.01 and 6.02
6.02	6	sp_cn	Styphelia tameiameiae	2	NA	SE	Table 1			59.4	1.2	32	same trait values for obs 6.01 and 6.02
6.02	7	sp_litterpercN	Styphelia tameiameiae	2	mg/g	SE	Table 1			6.3	0.2	32	same trait values for obs 6.01 and 6.02
6.02	8	sp_littercn	Styphelia tameiameiae	2	NA	SE	Table 1			79.2	0.4	32	same trait values for obs 6.01 and 6.02
6.02	9	sp_percN	Dodonaea viscosa	3	mg/g	SE	Table 1			12.1	0.5	18	same trait values for obs 6.01 and 6.02
6.02	10	sp_cn	Dodonaea viscosa	3	NA	SE	Table 1			39.9	1.5	18	same trait values for obs 6.01 and 6.02
6.02	11	sp_litterpercN	Dodonaea viscosa	3	mg/g	SE	Table 1			7.6	0.3	18	same trait values for obs 6.01 and 6.02
6.02	12	sp_littercn	Dodonaea viscosa	3	NA	SE	Table 1			63.5	0.3	18	same trait values for obs 6.01 and 6.02
25.01	1	sp_percN	Berberis thunbergii	1	mg/g	SE	p.1294			18.25	0.7	5	same trait values for all paper#25 observations by species
25.01	2	sp_litterpercN	Berberis thunbergii	1	mg/g	notReported	Figure 6			18.8	NA	NA	same trait values for all paper#25 observations by species
25.01	3	sp_litterpercN	Betula lenta	4	mg/g	notReported	Figure 6			14	NA	NA	same trait values for all paper#25 observations by species
25.01	4	sp_litterpercN	Quercus spp	2	mg/g	notReported	Figure 6			10.8	NA	NA	same trait values for all paper#25 observations by species
